SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
146_pect_phfirst_091813,right,2.3691,y = -2.3691x + 14.6699,2.5833,2.1928,2.3772
146_pect_phfirst_091813,whole,2.3475,y = -2.3475x + 15.1248,2.5872,2.1792,2.3746
149_pect_phfirst_102812,left,2.3411,y = -2.3411x + 13.8078,2.4917,2.2508,2.3582
149_pect_phfirst_102812,right,2.3816,y = -2.3816x + 14.2306,2.6295,2.1859,2.4075
149_pect_phfirst_102812,whole,2.3626,y = -2.3626x + 14.7308,2.5442,2.2146,2.3783
150_pect_phfirst_111512,right,2.3951,y = -2.3951x + 14.2224,2.5855,2.1800,2.4093
150_pect_phfirst_111512,whole,2.3868,y = -2.3868x + 14.6970,2.5517,2.1858,2.4033
153_pect_phfirst_110411,left,2.3584,y = -2.3584x + 14.1976,2.5951,2.1882,2.3821
153_pect_phfirst_110411,right,2.3876,y = -2.3876x + 14.5630,2.5972,2.1770,2.4236
153_pect_phfirst_110411,whole,2.3757,y = -2.3757x + 15.0910,2.5774,2.1799,2.4102
158_pect_phfirst_061912,left,2.4198,y = -2.4198x + 14.4363,2.6023,2.2300,2.4689
158_pect_phfirst_061912,right,2.3773,y = -2.3773x + 14.5144,2.6174,2.1497,2.4238
158_pect_phfirst_061912,whole,2.3978,y = -2.3978x + 15.1705,2.6121,2.1865,2.4455
165_pect_phfirst_012811,left,2.4100,y = -2.4100x + 14.1395,2.5831,2.2552,2.4543
165_pect_phfirst_012811,right,2.4509,y = -2.4509x + 14.6555,2.6125,2.2422,2.4650
165_pect_phfirst_012811,whole,2.4345,y = -2.4345x + 15.1224,2.6293,2.2521,2.4476
166_pect_phfirst_090415,left,2.3295,y = -2.3295x + 13.3710,2.5622,2.1593,2.3621
166_pect_phfirst_090415,right,2.3622,y = -2.3622x + 13.7219,2.5296,2.1804,2.4016
166_pect_phfirst_090415,whole,2.3457,y = -2.3457x + 14.2507,2.5088,2.1725,2.3856
168_pect_phfirst_021616,left,2.4661,y = -2.4661x + 14.1559,2.6358,2.2990,2.4908
168_pect_phfirst_021616,right,2.4263,y = -2.4263x + 14.1870,2.5615,2.2762,2.4282
168_pect_phfirst_021616,whole,2.4433,y = -2.4433x + 14.8608,2.5827,2.2848,2.4487
169_pect_phfirst_090315,left,2.4201,y = -2.4201x + 13.9056,2.5943,2.2701,2.4200
169_pect_phfirst_090315,right,2.4431,y = -2.4431x + 14.3150,2.6416,2.2578,2.4504
169_pect_phfirst_090315,whole,2.4333,y = -2.4333x + 14.8241,2.5941,2.2633,2.4432
170_pect_phfirst_110915,left,2.3557,y = -2.3557x + 13.9873,2.5303,2.1588,2.3982
170_pect_phfirst_110915,right,2.3535,y = -2.3535x + 14.1683,2.5981,2.1396,2.3939
170_pect_phfirst_110915,whole,2.3527,y = -2.3527x + 14.7727,2.5891,2.1446,2.3943
173_pect_phfirst_110915,left,2.4366,y = -2.4366x + 14.0536,2.6112,2.2999,2.4508
173_pect_phfirst_110915,right,2.4526,y = -2.4526x + 14.3035,2.6532,2.2964,2.4654
173_pect_phfirst_110915,whole,2.4439,y = -2.4439x + 14.8766,2.6119,2.3007,2.4569
175_pect_phfirst_093015,right,2.4191,y = -2.4191x + 13.6171,2.6540,2.2678,2.4218
175_pect_phfirst_093015,whole,2.3946,y = -2.3946x + 14.0918,2.5215,2.2612,2.4060
176_pect_phfirst_030316,left,2.4183,y = -2.4183x + 13.9325,2.5500,2.2102,2.4476
176_pect_phfirst_030316,right,2.4227,y = -2.4227x + 14.0087,2.6598,2.2056,2.4468
176_pect_phfirst_030316,whole,2.4188,y = -2.4188x + 14.6619,2.5905,2.2072,2.4335
177_pect_phfirst_012916,left,2.3895,y = -2.3895x + 14.4040,2.6096,2.2151,2.4229
177_pect_phfirst_012916,right,2.4310,y = -2.4310x + 14.7807,2.6848,2.2399,2.4817
177_pect_phfirst_012916,whole,2.4119,y = -2.4119x + 15.3001,2.6233,2.2289,2.4482
179_pect_phfirst_022516,left,2.4030,y = -2.4030x + 14.1365,2.5867,2.2597,2.4381
179_pect_phfirst_022516,right,2.4067,y = -2.4067x + 14.3142,2.5980,2.2697,2.4325
179_pect_phfirst_022516,whole,2.4044,y = -2.4044x + 14.9210,2.6100,2.2679,2.4302
183_pect_phfirst_031612,left,2.4331,y = -2.4331x + 14.4810,2.6787,2.2042,2.4359
183_pect_phfirst_031612,right,2.4371,y = -2.4371x + 14.5879,2.6622,2.1956,2.4390
183_pect_phfirst_031612,whole,2.4345,y = -2.4345x + 15.2280,2.6358,2.1975,2.4396
184_pect_phfirst_083011,left,2.3142,y = -2.3142x + 13.8935,2.5189,2.1544,2.3301
184_pect_phfirst_083011,right,2.3595,y = -2.3595x + 14.3589,2.6268,2.1656,2.3990
184_pect_phfirst_083011,whole,2.3402,y = -2.3402x + 14.8438,2.5643,2.1603,2.3805
185_pect_phfirst_040412,left,2.3070,y = -2.3070x + 13.7700,2.5306,2.1105,2.3463
185_pect_phfirst_040412,right,2.3417,y = -2.3417x + 14.2546,2.6731,2.1127,2.3961
185_pect_phfirst_040412,whole,2.3264,y = -2.3264x + 14.7314,2.5177,2.1123,2.3671
186_pect_phfirst_031014,left,2.3826,y = -2.3826x + 13.5529,2.4602,2.2127,2.3980
186_pect_phfirst_031014,right,2.2566,y = -2.2566x + 12.6403,2.3989,2.1519,2.2910
187_pect_phfirst_032414,left,2.3335,y = -2.3335x + 14.1076,2.4507,2.1871,2.3615
187_pect_phfirst_032414,right,2.4809,y = -2.4809x + 14.6528,2.6379,2.2952,2.4995
187_pect_phfirst_032414,whole,2.4157,y = -2.4157x + 15.1000,2.5414,2.2624,2.4535
188_pect_phfirst_072616,left,2.3320,y = -2.3320x + 13.7547,2.5193,2.1221,2.3850
188_pect_phfirst_072616,right,2.2646,y = -2.2646x + 13.6087,2.4547,2.0757,2.2923
188_pect_phfirst_072616,whole,2.2968,y = -2.2968x + 14.3719,2.5200,2.1012,2.3328
190_pect_phfirst_110514,left,2.2584,y = -2.2584x + 12.7222,2.5736,2.0687,2.2794
190_pect_phfirst_110514,whole,2.2287,y = -2.2287x + 13.3142,2.4897,2.0475,2.2703
195_pect_phfirst_061015,left,2.3531,y = -2.3531x + 13.9371,2.6075,2.1195,2.3642
195_pect_phfirst_061015,right,2.3688,y = -2.3688x + 14.1303,2.6429,2.1150,2.3772
195_pect_phfirst_061015,whole,2.3624,y = -2.3624x + 14.7326,2.6351,2.1159,2.3702
196_pect_phfirst_042116,left,2.3741,y = -2.3741x + 14.3660,2.5507,2.2165,2.3900
196_pect_phfirst_042116,right,2.3530,y = -2.3530x + 14.3891,2.5902,2.1799,2.3821
196_pect_phfirst_042116,whole,2.3612,y = -2.3612x + 15.0671,2.5522,2.1990,2.3901
197_pect_phfirst_042916,left,2.3946,y = -2.3946x + 13.7478,2.4944,2.3059,2.4047
197_pect_phfirst_042916,right,2.4376,y = -2.4376x + 14.0685,2.6235,2.3022,2.4509
197_pect_phfirst_042916,whole,2.4187,y = -2.4187x + 14.6134,2.5572,2.3034,2.4331
200_pect_phfirst_031616,left,2.3745,y = -2.3745x + 14.6294,2.6017,2.1732,2.4168
200_pect_phfirst_031616,right,2.4090,y = -2.4090x + 14.7851,2.6344,2.1999,2.4436
200_pect_phfirst_031616,whole,2.3921,y = -2.3921x + 15.4021,2.6141,2.1881,2.4221
201_pect_phfirst_060111,left,2.3999,y = -2.3999x + 13.8590,2.4658,2.2561,2.4157
201_pect_phfirst_060111,right,2.4300,y = -2.4300x + 14.0925,2.5778,2.2739,2.4395
201_pect_phfirst_060111,whole,2.4150,y = -2.4150x + 14.6731,2.5459,2.2661,2.4262
202_pect_phfirst_051416,left,2.2958,y = -2.2958x + 14.2764,2.5528,2.1617,2.2918
202_pect_phfirst_051416,right,2.3110,y = -2.3110x + 14.5403,2.6236,2.1479,2.3122
202_pect_phfirst_051416,whole,2.3031,y = -2.3031x + 15.1083,2.5598,2.1522,2.3058
203_pect_phfirst_092015,left,2.3608,y = -2.3608x + 13.6081,2.5294,2.2630,2.3829
203_pect_phfirst_092015,right,2.4026,y = -2.4026x + 14.0232,2.5491,2.2730,2.4332
203_pect_phfirst_092015,whole,2.3841,y = -2.3841x + 14.5274,2.5007,2.2690,2.4105
204_pect_phfirst_060216,left,2.4138,y = -2.4138x + 14.1643,2.5991,2.2853,2.4405
204_pect_phfirst_060216,right,2.4290,y = -2.4290x + 14.3543,2.6069,2.2720,2.4677
204_pect_phfirst_060216,whole,2.4221,y = -2.4221x + 14.9571,2.5739,2.2760,2.4562
210_pect_phfirst_101112,left,2.3479,y = -2.3479x + 13.6924,2.5125,2.2164,2.3512
210_pect_phfirst_101112,right,2.3810,y = -2.3810x + 14.1293,2.5794,2.2288,2.4044
210_pect_phfirst_101112,whole,2.3677,y = -2.3677x + 14.6271,2.5638,2.2245,2.3902
212_pect_phfirst_082317,left,2.3997,y = -2.3997x + 14.2586,2.6218,2.2013,2.4105
212_pect_phfirst_082317,right,2.4370,y = -2.4370x + 14.6691,2.6726,2.2057,2.4477
212_pect_phfirst_082317,whole,2.4214,y = -2.4214x + 15.1774,2.6480,2.2040,2.4333
213_pect_phfirst_121516,left,2.3475,y = -2.3475x + 13.9061,2.4526,2.2014,2.3784
213_pect_phfirst_121516,right,2.4369,y = -2.4369x + 14.4068,2.6115,2.3029,2.4608
213_pect_phfirst_121516,whole,2.3997,y = -2.3997x + 14.8775,2.5752,2.2619,2.4165
214_pect_phfirst_100917,left,2.2866,y = -2.2866x + 13.6250,2.5088,2.1641,2.2934
214_pect_phfirst_100917,right,2.3464,y = -2.3464x + 13.7054,2.5645,2.1968,2.3414
214_pect_phfirst_100917,whole,2.3153,y = -2.3153x + 14.3563,2.5761,2.1744,2.3391
215_pect_phfirst_102215,left,2.3611,y = -2.3611x + 14.3054,2.5993,2.1441,2.3937
215_pect_phfirst_102215,right,2.3488,y = -2.3488x + 14.3110,2.6232,2.1459,2.3614
215_pect_phfirst_102215,whole,2.3519,y = -2.3519x + 14.9970,2.6129,2.1462,2.3768
216_pect_phfirst_101517,left,2.4240,y = -2.4240x + 14.1399,2.6307,2.2447,2.4412
216_pect_phfirst_101517,right,2.4005,y = -2.4005x + 14.1548,2.5897,2.2153,2.4463
216_pect_phfirst_101517,whole,2.4095,y = -2.4095x + 14.8368,2.5839,2.2349,2.4192
217_pect_phfirst_030317,left,2.3475,y = -2.3475x + 13.9061,2.4526,2.2014,2.3784
217_pect_phfirst_030317,right,2.4369,y = -2.4369x + 14.4068,2.6115,2.3029,2.4608
217_pect_phfirst_030317,whole,2.3997,y = -2.3997x + 14.8775,2.5752,2.2619,2.4165
219_pect_phfirst_081817,left,2.2487,y = -2.2487x + 13.8395,2.5001,2.0983,2.2756
219_pect_phfirst_081817,right,2.2514,y = -2.2514x + 14.0091,2.5703,2.1033,2.2407
219_pect_phfirst_081817,whole,2.2502,y = -2.2502x + 14.6206,2.5078,2.1110,2.2392
223_pect_phfirst_090413,left,2.3758,y = -2.3758x + 13.4058,2.4313,2.2447,2.3844
223_pect_phfirst_090413,right,2.4147,y = -2.4147x + 13.7301,2.5701,2.2795,2.4067
223_pect_phfirst_090413,whole,2.3968,y = -2.3968x + 14.2734,2.5291,2.2630,2.3917
224_pect_phfirst_050917,left,2.4026,y = -2.4026x + 14.6812,2.6674,2.1436,2.4097
224_pect_phfirst_050917,right,2.3928,y = -2.3928x + 14.7510,2.6664,2.1230,2.4618
224_pect_phfirst_050917,whole,2.3987,y = -2.3987x + 15.4118,2.6649,2.1319,2.4033
225_pect_phfirst_091517,left,2.3777,y = -2.3777x + 14.3158,2.6048,2.2257,2.3871
225_pect_phfirst_091517,right,2.3784,y = -2.3784x + 14.3492,2.6136,2.2037,2.3950
225_pect_phfirst_091517,whole,2.3784,y = -2.3784x + 15.0271,2.5950,2.2088,2.4119
226_pect_phfirst_040407,left,2.4655,y = -2.4655x + 14.7878,2.6484,2.2420,2.4904
226_pect_phfirst_040407,right,2.4640,y = -2.4640x + 14.8425,2.6577,2.2249,2.4887
226_pect_phfirst_040407,whole,2.4658,y = -2.4658x + 15.5103,2.6648,2.2350,2.4903
227_pect_phfirst_040215,left,2.4273,y = -2.4273x + 14.3649,2.5663,2.2866,2.4614
227_pect_phfirst_040215,right,2.3893,y = -2.3893x + 14.3396,2.5597,2.2325,2.4099
227_pect_phfirst_040215,whole,2.4076,y = -2.4076x + 15.0443,2.5516,2.2573,2.4361
229_pect_phfirst_091817,left,2.3821,y = -2.3821x + 13.7731,2.5796,2.2246,2.4112
229_pect_phfirst_091817,right,2.3994,y = -2.3994x + 13.9992,2.5982,2.2219,2.4441
229_pect_phfirst_091817,whole,2.3905,y = -2.3905x + 14.5835,2.5403,2.2201,2.4352
231_pect_phfirst_081717,left,2.4135,y = -2.4135x + 13.9218,2.5880,2.2811,2.4506
231_pect_phfirst_081717,right,2.4398,y = -2.4398x + 14.1761,2.6311,2.2991,2.4726
231_pect_phfirst_081717,whole,2.4270,y = -2.4270x + 14.7495,2.6167,2.2909,2.4584
233_pect_phfirst_022916,left,2.2973,y = -2.2973x + 13.3201,2.4708,2.1510,2.3062
233_pect_phfirst_022916,right,2.3477,y = -2.3477x + 13.8291,2.6029,2.1507,2.3805
233_pect_phfirst_022916,whole,2.3264,y = -2.3264x + 14.2968,2.5341,2.1515,2.3431
236_pect_phfirst_072417,left,2.4607,y = -2.4607x + 14.1314,2.5960,2.3200,2.4660
236_pect_phfirst_072417,right,2.4400,y = -2.4400x + 14.2425,2.6034,2.2805,2.4821
236_pect_phfirst_072417,whole,2.4479,y = -2.4479x + 14.8793,2.5947,2.3015,2.4590
237_pect_phfirst_080717,left,2.4097,y = -2.4097x + 14.1073,2.5837,2.2314,2.4215
237_pect_phfirst_080717,right,2.4365,y = -2.4365x + 14.4296,2.6609,2.2306,2.4509
237_pect_phfirst_080717,whole,2.4254,y = -2.4254x + 14.9748,2.6285,2.2316,2.4273
238_pect_phfirst_081616,left,2.3280,y = -2.3280x + 14.0266,2.5185,2.1645,2.3551
238_pect_phfirst_081616,right,2.4047,y = -2.4047x + 14.5822,2.6526,2.1866,2.4268
242_pect_phfirst_032117,left,2.4278,y = -2.4278x + 14.2386,2.5916,2.2336,2.4507
242_pect_phfirst_032117,right,2.4546,y = -2.4546x + 14.4323,2.6090,2.2354,2.4622
242_pect_phfirst_032117,whole,2.4392,y = -2.4392x + 15.0278,2.5959,2.2338,2.4632
246_pect_phfirst_060817,left,2.3869,y = -2.3869x + 14.0894,2.5659,2.1944,2.4432
246_pect_phfirst_060817,right,2.3786,y = -2.3786x + 14.1803,2.5964,2.1691,2.4223
246_pect_phfirst_060817,whole,2.3822,y = -2.3822x + 14.8289,2.5975,2.1812,2.4290
248_pect_phfirst_111517,left,2.3125,y = -2.3125x + 14.4412,2.6000,2.1578,2.3134
248_pect_phfirst_111517,right,2.3199,y = -2.3199x + 14.5243,2.6112,2.1392,2.3360
248_pect_phfirst_111517,whole,2.3169,y = -2.3169x + 15.1780,2.6092,2.1478,2.3259
253_pect_phfirst_092014,left,2.4245,y = -2.4245x + 14.2800,2.6132,2.2812,2.4554
253_pect_phfirst_092014,right,2.4778,y = -2.4778x + 14.8055,2.6354,2.3028,2.4984
253_pect_phfirst_092014,whole,2.4574,y = -2.4574x + 15.2699,2.6101,2.2950,2.5018
255_pect_phfirst_111617,left,2.4076,y = -2.4076x + 14.0044,2.5799,2.2410,2.4502
255_pect_phfirst_111617,right,2.3557,y = -2.3557x + 13.9262,2.5624,2.1900,2.3804
255_pect_phfirst_111617,whole,2.3800,y = -2.3800x + 14.6560,2.5539,2.2168,2.4135
257_pect_phfirst_090217,left,2.3543,y = -2.3543x + 13.9920,2.5513,2.2308,2.3562
257_pect_phfirst_090217,right,2.3671,y = -2.3671x + 13.9468,2.5337,2.2228,2.3870
257_pect_phfirst_090217,whole,2.3618,y = -2.3618x + 14.6654,2.5333,2.2258,2.3716
261_pect_phfirst_022317,left,2.4234,y = -2.4234x + 13.8615,2.4902,2.3015,2.4650
261_pect_phfirst_022317,right,2.4108,y = -2.4108x + 14.1520,2.5850,2.2576,2.4464
261_pect_phfirst_022317,whole,2.4152,y = -2.4152x + 14.7097,2.5574,2.2779,2.4479
262_pect_phfirst_013117,left,2.3912,y = -2.3912x + 14.0943,2.5404,2.2367,2.4344
262_pect_phfirst_013117,right,2.4393,y = -2.4393x + 14.3544,2.6049,2.2645,2.4330
262_pect_phfirst_013117,whole,2.4167,y = -2.4167x + 14.9248,2.6089,2.2546,2.4241
265_pect_phfirst_051017,left,2.3576,y = -2.3576x + 13.6520,2.4703,2.2353,2.3766
265_pect_phfirst_051017,right,2.3397,y = -2.3397x + 13.6629,2.5284,2.2367,2.3641
265_pect_phfirst_051017,whole,2.3471,y = -2.3471x + 14.3477,2.4355,2.2362,2.3607
267_pect_phfirst_010117,left,2.4708,y = -2.4708x + 14.0003,2.6229,2.3425,2.4948
267_pect_phfirst_010117,right,2.4967,y = -2.4967x + 14.2138,2.6167,2.3355,2.5194
267_pect_phfirst_010117,whole,2.4833,y = -2.4833x + 14.8024,2.5607,2.3397,2.5006
268_pect_phfirst_090415,left,2.3295,y = -2.3295x + 13.3710,2.5622,2.1593,2.3621
268_pect_phfirst_090415,right,2.3622,y = -2.3622x + 13.7219,2.5296,2.1804,2.4016
268_pect_phfirst_090415,whole,2.3457,y = -2.3457x + 14.2507,2.5088,2.1725,2.3856
269_pect_phfirst_012417,left,2.4084,y = -2.4084x + 13.7478,2.6043,2.1744,2.4247
269_pect_phfirst_012417,right,2.4036,y = -2.4036x + 13.7875,2.5904,2.1738,2.4207
269_pect_phfirst_012417,whole,2.4024,y = -2.4024x + 14.4549,2.5843,2.1730,2.4243
270_pect_phfirst_122916,left,2.4075,y = -2.4075x + 14.5075,2.6170,2.1763,2.4211
270_pect_phfirst_122916,right,2.4208,y = -2.4208x + 14.7091,2.6702,2.1706,2.4286
270_pect_phfirst_122916,whole,2.4142,y = -2.4142x + 15.3062,2.6375,2.1707,2.4243
271_pect_phfirst_040617,left,2.3600,y = -2.3600x + 14.2623,2.6141,2.1463,2.3939
271_pect_phfirst_040617,right,2.3570,y = -2.3570x + 14.4108,2.6200,2.1278,2.3916
271_pect_phfirst_040617,whole,2.3562,y = -2.3562x + 15.0294,2.6099,2.1353,2.3918
272_pect_phfirst_100117,left,2.4171,y = -2.4171x + 13.6811,2.4984,2.3319,2.4222
272_pect_phfirst_100117,right,2.4233,y = -2.4233x + 13.8067,2.5225,2.3336,2.4430
272_pect_phfirst_100117,whole,2.4188,y = -2.4188x + 14.4356,2.5113,2.3419,2.4238
275_pect_phfirst_112311,left,2.3262,y = -2.3262x + 13.4116,2.5597,2.1885,2.3329
275_pect_phfirst_112311,right,2.3686,y = -2.3686x + 13.9294,2.5971,2.1671,2.4156
275_pect_phfirst_112311,whole,2.3485,y = -2.3485x + 14.3897,2.6177,2.1755,2.3877
276_pect_phfirst_083017,left,2.3736,y = -2.3736x + 14.1211,2.5802,2.1654,2.4313
276_pect_phfirst_083017,right,2.4090,y = -2.4090x + 14.4170,2.6834,2.1829,2.4177
276_pect_phfirst_083017,whole,2.3937,y = -2.3937x + 14.9738,2.6599,2.1814,2.4013
277_pect_phfirst_020617,left,2.3868,y = -2.3868x + 14.0641,2.5547,2.1876,2.4406
277_pect_phfirst_020617,right,2.4162,y = -2.4162x + 14.3420,2.6631,2.1973,2.4192
277_pect_phfirst_020617,whole,2.3996,y = -2.3996x + 14.9007,2.5917,2.1891,2.4589
278_pect_phfirst_051916,left,2.4158,y = -2.4158x + 14.3839,2.6421,2.1993,2.4336
278_pect_phfirst_051916,right,2.4576,y = -2.4576x + 14.6776,2.6711,2.2032,2.4786
278_pect_phfirst_051916,whole,2.4374,y = -2.4374x + 15.2315,2.6360,2.2032,2.4575
280_pect_phfirst_061416,left,2.4467,y = -2.4467x + 13.9770,2.6647,2.2541,2.4565
280_pect_phfirst_061416,right,2.4504,y = -2.4504x + 14.1571,2.5969,2.2520,2.4532
280_pect_phfirst_061416,whole,2.4473,y = -2.4473x + 14.7621,2.6128,2.2522,2.4557
282_pect_phfirst_062413,left,2.3642,y = -2.3642x + 14.3881,2.5944,2.1688,2.3918
282_pect_phfirst_062413,right,2.3909,y = -2.3909x + 14.6614,2.6566,2.1687,2.4294
282_pect_phfirst_062413,whole,2.3778,y = -2.3778x + 15.2247,2.6257,2.1680,2.4104
283_pect_phfirst_092616,left,2.4407,y = -2.4407x + 13.6618,2.5451,2.3582,2.4479
283_pect_phfirst_092616,right,2.4523,y = -2.4523x + 14.0827,2.6120,2.2970,2.4679
283_pect_phfirst_092616,whole,2.4452,y = -2.4452x + 14.5832,2.5649,2.3221,2.4509
286_pect_phfirst_111016,left,2.3457,y = -2.3457x + 13.9402,2.4977,2.2105,2.3670
286_pect_phfirst_111016,right,2.3581,y = -2.3581x + 14.2627,2.5764,2.1845,2.3690
286_pect_phfirst_111016,whole,2.3522,y = -2.3522x + 14.8067,2.5432,2.1952,2.3617
289_pect_phfirst_050915,left,2.3432,y = -2.3432x + 13.7361,2.5113,2.1831,2.3747
289_pect_phfirst_050915,right,2.3391,y = -2.3391x + 13.9474,2.5044,2.1989,2.3501
289_pect_phfirst_050915,whole,2.3405,y = -2.3405x + 14.5392,2.5658,2.1919,2.3703
292_pect_phfirst_020317,left,2.4343,y = -2.4343x + 13.9569,2.4972,2.3100,2.4383
292_pect_phfirst_020317,right,2.4200,y = -2.4200x + 14.0970,2.5644,2.2706,2.4591
292_pect_phfirst_020317,whole,2.4259,y = -2.4259x + 14.7213,2.5637,2.2906,2.4599
294_pect_phfirst_082713,left,2.2970,y = -2.2970x + 13.8144,2.4485,2.1083,2.3252
294_pect_phfirst_082713,right,2.3277,y = -2.3277x + 14.1731,2.5893,2.1129,2.3704
294_pect_phfirst_082713,whole,2.3141,y = -2.3141x + 14.7026,2.5079,2.1117,2.3581
296_pect_phfirst_100616,left,2.3677,y = -2.3677x + 14.1726,2.5494,2.1712,2.4006
296_pect_phfirst_100616,right,2.3754,y = -2.3754x + 14.4230,2.5976,2.1499,2.4203
296_pect_phfirst_100616,whole,2.3708,y = -2.3708x + 14.9972,2.6006,2.1588,2.4115
297_pect_phfirst_052115,left,2.4558,y = -2.4558x + 14.2876,2.6481,2.2873,2.4695
297_pect_phfirst_052115,right,2.4317,y = -2.4317x + 14.4467,2.5885,2.2426,2.4737
297_pect_phfirst_052115,whole,2.4414,y = -2.4414x + 15.0619,2.6099,2.2686,2.4487
298_pect_phfirst_062016,left,2.3243,y = -2.3243x + 14.0932,2.6085,2.1406,2.3534
298_pect_phfirst_062016,right,2.3400,y = -2.3400x + 14.0936,2.5610,2.1461,2.3595
298_pect_phfirst_062016,whole,2.3315,y = -2.3315x + 14.7857,2.5852,2.1456,2.3624
299_pect_phfirst_020817,left,2.3893,y = -2.3893x + 13.9876,2.5490,2.2707,2.4099
299_pect_phfirst_020817,right,2.4192,y = -2.4192x + 14.2775,2.6366,2.2902,2.4382
299_pect_phfirst_020817,whole,2.4058,y = -2.4058x + 14.8358,2.5794,2.2828,2.4252
300_pect_phfirst_091415,right,2.4414,y = -2.4414x + 14.2135,2.6354,2.3022,2.4597
300_pect_phfirst_091415,whole,2.4284,y = -2.4284x + 14.9221,2.5283,2.2971,2.4579
301_pect_phfirst_090816,left,2.4288,y = -2.4288x + 14.7797,2.6463,2.1875,2.4393
301_pect_phfirst_090816,right,2.4238,y = -2.4238x + 14.8628,2.6810,2.1674,2.4889
301_pect_phfirst_090816,whole,2.4255,y = -2.4255x + 15.5141,2.6764,2.1835,2.4334
306_pect_phfirst_081116,left,2.3599,y = -2.3599x + 14.3200,2.5755,2.1371,2.4063
306_pect_phfirst_081116,right,2.4035,y = -2.4035x + 14.6445,2.6647,2.1514,2.4070
306_pect_phfirst_081116,whole,2.3841,y = -2.3841x + 15.1873,2.6136,2.1455,2.4390
307_pect_phfirst_010516,left,2.3932,y = -2.3932x + 13.9893,2.5840,2.2061,2.3976
307_pect_phfirst_010516,right,2.4620,y = -2.4620x + 14.3186,2.6657,2.2247,2.4677
307_pect_phfirst_010516,whole,2.4265,y = -2.4265x + 14.8520,2.5884,2.2175,2.4357
308_pect_phfirst_052215,left,2.3675,y = -2.3675x + 14.0708,2.5555,2.2814,2.3713
308_pect_phfirst_052215,right,2.4044,y = -2.4044x + 14.1150,2.5605,2.2649,2.4373
308_pect_phfirst_052215,whole,2.3861,y = -2.3861x + 14.7865,2.5304,2.2709,2.3913
312_pect_phfirst_071717,left,2.4594,y = -2.4594x + 14.1624,2.6094,2.3159,2.4779
312_pect_phfirst_071717,right,2.4162,y = -2.4162x + 14.0291,2.6284,2.2806,2.4407
312_pect_phfirst_071717,whole,2.4352,y = -2.4352x + 14.7859,2.5599,2.3018,2.4504
316_pect_phfirst_032717,left,2.3960,y = -2.3960x + 13.7590,2.5580,2.2811,2.3957
316_pect_phfirst_032717,right,2.4209,y = -2.4209x + 14.0836,2.6024,2.2551,2.4241
316_pect_phfirst_032717,whole,2.4088,y = -2.4088x + 14.6256,2.5477,2.2665,2.4206
317_pect_phfirst_111717,left,2.3592,y = -2.3592x + 13.9286,2.4889,2.2499,2.3752
317_pect_phfirst_111717,right,2.3633,y = -2.3633x + 14.1415,2.6289,2.2026,2.3921
317_pect_phfirst_111717,whole,2.3610,y = -2.3610x + 14.7333,2.5222,2.2260,2.3737
318_pect_phfirst_061917,left,2.3625,y = -2.3625x + 14.4272,2.5339,2.2164,2.3868
318_pect_phfirst_061917,right,2.4170,y = -2.4170x + 14.7546,2.6538,2.2460,2.4508
318_pect_phfirst_061917,whole,2.3926,y = -2.3926x + 15.2961,2.5931,2.2358,2.4037
319_pect_phfirst_010318,left,2.4596,y = -2.4596x + 14.3757,2.6435,2.2390,2.4726
319_pect_phfirst_010318,right,2.4645,y = -2.4645x + 14.5185,2.6539,2.2382,2.4903
319_pect_phfirst_010318,whole,2.4620,y = -2.4620x + 15.1430,2.6552,2.2370,2.4903
320_pect_phfirst_120817,right,2.3762,y = -2.3762x + 14.1523,2.5076,2.1948,2.4260
320_pect_phfirst_120817,whole,2.3641,y = -2.3641x + 14.5141,2.5044,2.2101,2.3824
321_pect_phfirst_011818,left,2.3894,y = -2.3894x + 14.3911,2.6309,2.1696,2.4267
321_pect_phfirst_011818,right,2.4241,y = -2.4241x + 14.5397,2.6186,2.2110,2.4770
321_pect_phfirst_011818,whole,2.4052,y = -2.4052x + 15.1566,2.6372,2.1910,2.4513
322_pect_phfirst_022417,left,2.3810,y = -2.3810x + 14.1523,2.5740,2.2386,2.4024
322_pect_phfirst_022417,right,2.4114,y = -2.4114x + 14.4478,2.5871,2.2394,2.4486
322_pect_phfirst_022417,whole,2.3997,y = -2.3997x + 15.0061,2.5593,2.2397,2.4288
323_pect_phfirst_102317,left,2.4661,y = -2.4661x + 14.0568,2.5884,2.3143,2.4913
323_pect_phfirst_102317,right,2.4607,y = -2.4607x + 14.2689,2.6103,2.2939,2.4742
323_pect_phfirst_102317,whole,2.4617,y = -2.4617x + 14.8596,2.6033,2.3037,2.4747
324_pect_phfirst_040118,left,2.4346,y = -2.4346x + 14.1687,2.5789,2.2994,2.4347
324_pect_phfirst_040118,right,2.4060,y = -2.4060x + 14.3902,2.5850,2.2432,2.4482
324_pect_phfirst_040118,whole,2.4178,y = -2.4178x + 14.9776,2.5595,2.2672,2.4539
325_pect_phfirst_020818,left,2.3817,y = -2.3817x + 14.2938,2.5464,2.2579,2.3953
325_pect_phfirst_020818,right,2.3846,y = -2.3846x + 14.8387,2.5986,2.2408,2.4137
