SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
023_pect_phfirst_040611,left,2.3564,y = -2.3564x + 14.8575,2.6057,2.1882,2.3758
023_pect_phfirst_040611,right,2.3804,y = -2.3804x + 14.9456,2.6375,2.2073,2.4139
023_pect_phfirst_040611,whole,2.3684,y = -2.3684x + 15.5950,2.6118,2.1972,2.3953
024_pect_phfirst_032509,left,2.2649,y = -2.2649x + 13.4389,2.4215,2.1716,2.2818
024_pect_phfirst_032509,right,2.3439,y = -2.3439x + 14.7092,2.6187,2.1455,2.3731
024_pect_phfirst_032509,whole,2.3233,y = -2.3233x + 14.9532,2.5689,2.1549,2.3458
025_pect_phfirst_013008,left,2.3308,y = -2.3308x + 14.1850,2.5131,2.1658,2.3702
025_pect_phfirst_013008,right,2.3731,y = -2.3731x + 14.4784,2.6010,2.1834,2.3966
025_pect_phfirst_013008,whole,2.3553,y = -2.3553x + 15.0362,2.5674,2.1781,2.3767
026_pect_phfirst_050413,left,2.3769,y = -2.3769x + 13.8486,2.5807,2.2121,2.4059
026_pect_phfirst_050413,right,2.3937,y = -2.3937x + 14.1817,2.6005,2.1951,2.4267
026_pect_phfirst_050413,whole,2.3856,y = -2.3856x + 14.7206,2.5819,2.2022,2.4180
028_pect_phfirst_063011,left,2.3809,y = -2.3809x + 13.8874,2.5412,2.2335,2.4110
028_pect_phfirst_063011,right,2.3171,y = -2.3171x + 13.7960,2.5393,2.1770,2.3201
028_pect_phfirst_063011,whole,2.3484,y = -2.3484x + 14.5342,2.5505,2.2073,2.3651
029_pect_phfirst_072211,left,2.3532,y = -2.3532x + 14.3328,2.5865,2.1878,2.3822
029_pect_phfirst_072211,right,2.3964,y = -2.3964x + 14.6513,2.6107,2.2094,2.4247
029_pect_phfirst_072211,whole,2.3753,y = -2.3753x + 15.1940,2.5948,2.1976,2.3973
030_pect_phfirst_071812,left,2.3218,y = -2.3218x + 13.7669,2.5894,2.1527,2.3231
030_pect_phfirst_071812,right,2.3191,y = -2.3191x + 14.1461,2.5686,2.1685,2.3376
030_pect_phfirst_071812,whole,2.3193,y = -2.3193x + 14.6660,2.4791,2.1629,2.3304
031_pect_phfirst_080410,left,2.2815,y = -2.2815x + 14.4613,2.5264,2.1277,2.2877
031_pect_phfirst_080410,right,2.3918,y = -2.3918x + 14.5530,2.6411,2.1931,2.4334
031_pect_phfirst_080410,whole,2.3315,y = -2.3315x + 15.1933,2.5598,2.1606,2.3545
032_pect_phfirst_060308,left,2.3637,y = -2.3637x + 14.5914,2.5803,2.1844,2.3823
032_pect_phfirst_060308,right,2.3354,y = -2.3354x + 14.6541,2.6106,2.1338,2.3652
032_pect_phfirst_060308,whole,2.3483,y = -2.3483x + 15.3158,2.5948,2.1589,2.3830
036_pect_phfirst_050713,left,2.3897,y = -2.3897x + 14.6079,2.6382,2.1983,2.4134
036_pect_phfirst_050713,right,2.3936,y = -2.3936x + 14.8495,2.6815,2.1692,2.4312
036_pect_phfirst_050713,whole,2.3929,y = -2.3929x + 15.4305,2.6438,2.1817,2.4267
042_pect_phfirst_071112,left,2.4177,y = -2.4177x + 14.4957,2.5931,2.2313,2.4501
042_pect_phfirst_071112,right,2.4330,y = -2.4330x + 14.7277,2.6277,2.2389,2.4667
042_pect_phfirst_071112,whole,2.4237,y = -2.4237x + 15.3076,2.6344,2.2338,2.4580
044_pect_phfirst_090810,left,2.3535,y = -2.3535x + 13.7032,2.5135,2.2543,2.3614
044_pect_phfirst_090810,right,2.3577,y = -2.3577x + 14.0254,2.5205,2.2375,2.3565
044_pect_phfirst_090810,whole,2.3535,y = -2.3535x + 14.5672,2.4890,2.2427,2.3710
046_pect_phfirst_122010,left,2.3549,y = -2.3549x + 14.2412,2.6013,2.2212,2.3706
