Percent Threshold (BV5),Fractal Dimension
0,2.23666878192
5,2.23308159413
10,2.22891744485
15,2.22418900573
20,2.21862103921
25,2.21240644389
30,2.20556888369
35,2.19764447468
40,2.18865113996
45,2.17878143838
50,2.16675736337
55,2.15309135315
60,2.13780394316
65,2.11839188441
70,2.09805709184
75,2.07234874013
80,2.04738895164
85,2.00573969486
90,1.9552183546
95,1.87192557838
100,1.55952762598
