Percent Threshold (BV5),Fractal Dimension
0,2.20829610196
5,2.20537405266
10,2.20163745271
15,2.19701657577
20,2.19140754197
25,2.1856152951
30,2.178523333
35,2.17146248557
40,2.16229093144
45,2.151631043
50,2.14268868477
55,2.12776805542
60,2.11240881408
65,2.09423122604
70,2.10134381376
75,2.07931166776
80,2.04633574867
85,2.01589805638
90,1.96995807649
95,1.94054228602
100,1.72123528355
