Percent Threshold (BV5),Fractal Dimension
0,2.20310330184
5,2.20033732167
10,2.19672201073
15,2.19267905166
20,2.18890402446
25,2.1836355497
30,2.17714192633
35,2.17094626424
40,2.16305532644
45,2.15312890359
50,2.14199604732
55,2.12888724931
60,2.11269390636
65,2.09641245532
70,2.07660483542
75,2.05016323608
80,2.01963889762
85,2.0130381337
90,1.97277941068
95,1.90743969653
100,1.73363113863
