Percent Threshold (BV5),Fractal Dimension
0,2.27599978326
5,2.27313761232
10,2.2699206019
15,2.26546548241
20,2.2605939529
25,2.25511745428
30,2.24906591513
35,2.24209515796
40,2.23381029557
45,2.2247694575
50,2.21578840466
55,2.20453582929
60,2.19119272711
65,2.17445201749
70,2.15565201884
75,2.13447347838
80,2.1092361037
85,2.0801325221
90,2.03931769564
95,1.97021361417
100,1.72883414763
