SID,Lobe,Fractal_Dimension,Linear_Fit,R_Squared,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
117_pect_phfirst_021414,right,2.4450,y = -2.4450x + 13.9796,0.9992037465688668,2.5749,2.2912,2.4429
119_pect_phfirst_102414,left,2.3058,y = -2.3058x + 12.9990,0.9996909718034572,2.4530,2.2033,2.3339
120_pect_phfirst_010715,left,2.3836,y = -2.3836x + 14.2740,0.9992040866767576,2.5520,2.2416,2.4105
120_pect_phfirst_010715,right,2.3924,y = -2.3924x + 14.1743,0.9990440180111895,2.5851,2.2299,2.4253
120_pect_phfirst_010715,whole,2.3859,y = -2.3859x + 14.9153,0.9992021158599677,2.5577,2.2360,2.4132
122_pect_phfirst_111314,left,2.3973,y = -2.3973x + 14.6363,0.9990962302098149,2.5423,2.2427,2.4207
122_pect_phfirst_111314,right,2.3903,y = -2.3903x + 14.6144,0.9988333245218083,2.6154,2.2280,2.4134
122_pect_phfirst_111314,whole,2.3938,y = -2.3938x + 15.3182,0.9989922870831289,2.5858,2.2368,2.4258
123_pect_phfirst_113014,left,2.4226,y = -2.4226x + 14.4755,0.9988231691458044,2.6031,2.2379,2.4708
123_pect_phfirst_113014,right,2.3980,y = -2.3980x + 14.0258,0.9987090444344892,2.6064,2.2178,2.4291
123_pect_phfirst_113014,whole,2.4128,y = -2.4128x + 14.9689,0.9988003858570407,2.6035,2.2319,2.4539
124_pect_phfirst_010415,left,2.3046,y = -2.3046x + 14.0361,0.9985814783448536,2.5412,2.1347,2.3259
124_pect_phfirst_010415,right,2.2653,y = -2.2653x + 14.4884,0.9982890771851448,2.5222,2.0939,2.2715
124_pect_phfirst_010415,whole,2.2794,y = -2.2794x + 14.9789,0.9984306591901981,2.5000,2.1081,2.2923
125_pect_phfirst_122813,left,2.4154,y = -2.4154x + 14.1131,0.9988471727309454,2.6370,2.2427,2.4192
125_pect_phfirst_122813,right,2.4106,y = -2.4106x + 14.2151,0.9987695531812955,2.6328,2.2280,2.4646
125_pect_phfirst_122813,whole,2.4154,y = -2.4154x + 14.8617,0.9987843846121844,2.6260,2.2304,2.4639
129_pect_phfirst_110813,left,2.3841,y = -2.3841x + 13.9852,0.9985719018980195,2.5373,2.1723,2.4075
129_pect_phfirst_110813,right,2.3881,y = -2.3881x + 14.1985,0.9979280433730007,2.6057,2.1371,2.4103
129_pect_phfirst_110813,whole,2.3835,y = -2.3835x + 14.7870,0.9982735254217571,2.5268,2.1524,2.4096
131_pect_phfirst_022415,left,2.4521,y = -2.4521x + 13.9665,0.9995262269457028,2.5658,2.3291,2.4586
131_pect_phfirst_022415,right,2.4786,y = -2.4786x + 14.3091,0.9992399768212566,2.6312,2.3178,2.4947
131_pect_phfirst_022415,whole,2.4672,y = -2.4672x + 14.8449,0.9993774249029729,2.5928,2.3208,2.4844
132_pect_phfirst_022515,left,2.3947,y = -2.3947x + 13.9233,0.9993180082441003,2.4874,2.2581,2.4052
132_pect_phfirst_022515,right,2.4034,y = -2.4034x + 14.4455,0.9988818898268419,2.5973,2.2451,2.4321
132_pect_phfirst_022515,whole,2.3993,y = -2.3993x + 14.9102,0.9990899573370546,2.5581,2.2492,2.4244
134_pect_phfirst_121814,left,2.2637,y = -2.2637x + 13.1493,0.9977250563632234,2.4994,2.0331,2.2719
134_pect_phfirst_121814,right,2.2889,y = -2.2889x + 13.3795,0.9972884972178253,2.4782,2.0316,2.3007
134_pect_phfirst_121814,whole,2.2768,y = -2.2768x + 13.9631,0.9974520121287271,2.4719,2.0285,2.2891
135_pect_phfirst_102413,right,2.3778,y = -2.3778x + 13.5187,0.9991817855082858,2.5165,2.2256,2.4117
135_pect_phfirst_102413,whole,2.3704,y = -2.3704x + 13.9432,0.9994572425150596,2.5700,2.2407,2.3868
137_pect_phfirst_013115,left,2.4012,y = -2.4012x + 14.1490,0.9994377650936871,2.5480,2.2694,2.4112
137_pect_phfirst_013115,right,2.4223,y = -2.4223x + 14.4957,0.9987384529466095,2.6703,2.2451,2.4434
137_pect_phfirst_013115,whole,2.4127,y = -2.4127x + 15.0296,0.9990726127988032,2.6001,2.2518,2.4379
139_pect_phfirst_060513,left,2.3886,y = -2.3886x + 13.9949,0.9996066415529297,2.5492,2.2809,2.4109
139_pect_phfirst_060513,right,2.4272,y = -2.4272x + 14.3801,0.9991552434874666,2.6045,2.2730,2.4570
139_pect_phfirst_060513,whole,2.4115,y = -2.4115x + 14.9000,0.9993553663120208,2.5704,2.2769,2.4368
140_pect_phfirst_051215,left,2.3558,y = -2.3558x + 14.3552,0.9979106210936305,2.6443,2.1298,2.3956
140_pect_phfirst_051215,right,2.3657,y = -2.3657x + 14.5445,0.9974557979581739,2.6492,2.1189,2.4126
140_pect_phfirst_051215,whole,2.3615,y = -2.3615x + 15.1481,0.9976437544618427,2.6304,2.1198,2.4087
141_pect_phfirst_080115,right,2.3660,y = -2.3660x + 13.3540,0.9996153140386461,2.5212,2.2388,2.4021
141_pect_phfirst_080115,whole,2.3566,y = -2.3566x + 13.9158,0.999740007192834,2.4771,2.2533,2.3882
145_pect_phfirst_100612,left,2.3727,y = -2.3727x + 14.5743,0.9992141288821276,2.5340,2.2397,2.3883
145_pect_phfirst_100612,right,2.3913,y = -2.3913x + 14.9445,0.9985086065492258,2.6447,2.2062,2.4247
145_pect_phfirst_100612,whole,2.3836,y = -2.3836x + 15.4695,0.9988198437963683,2.6190,2.2204,2.4078
146_pect_phfirst_091813,left,2.3182,y = -2.3182x + 14.1272,0.9987612883209103,2.5332,2.1579,2.3153
146_pect_phfirst_091813,right,2.3691,y = -2.3691x + 14.6699,0.9985806901188923,2.5833,2.1928,2.3772
146_pect_phfirst_091813,whole,2.3475,y = -2.3475x + 15.1248,0.9987147459263017,2.5872,2.1792,2.3746
149_pect_phfirst_102812,left,2.3411,y = -2.3411x + 13.8078,0.9997318654628334,2.4917,2.2508,2.3582
149_pect_phfirst_102812,right,2.3816,y = -2.3816x + 14.2306,0.9985215776772467,2.6295,2.1859,2.4075
149_pect_phfirst_102812,whole,2.3626,y = -2.3626x + 14.7308,0.9991627388363262,2.5442,2.2146,2.3783
150_pect_phfirst_111512,right,2.3951,y = -2.3951x + 14.2224,0.998361402385004,2.5855,2.1800,2.4093
150_pect_phfirst_111512,whole,2.3868,y = -2.3868x + 14.6970,0.9985998752287457,2.5517,2.1858,2.4033
153_pect_phfirst_110411,left,2.3584,y = -2.3584x + 14.1976,0.9988402027354761,2.5951,2.1882,2.3821
153_pect_phfirst_110411,right,2.3876,y = -2.3876x + 14.5630,0.9981910622482472,2.5972,2.1770,2.4236
153_pect_phfirst_110411,whole,2.3757,y = -2.3757x + 15.0910,0.9984644778209683,2.5774,2.1799,2.4102
158_pect_phfirst_061912,left,2.4198,y = -2.4198x + 14.4363,0.9987247699825458,2.6023,2.2300,2.4689
158_pect_phfirst_061912,right,2.3773,y = -2.3773x + 14.5144,0.9979701985777807,2.6174,2.1497,2.4238
158_pect_phfirst_061912,whole,2.3978,y = -2.3978x + 15.1705,0.9983356558207096,2.6121,2.1865,2.4455
165_pect_phfirst_012811,left,2.4100,y = -2.4100x + 14.1395,0.9992083220056116,2.5831,2.2552,2.4543
165_pect_phfirst_012811,right,2.4509,y = -2.4509x + 14.6555,0.9985313657957239,2.6125,2.2422,2.4650
165_pect_phfirst_012811,whole,2.4345,y = -2.4345x + 15.1224,0.9988410585613763,2.6293,2.2521,2.4476
166_pect_phfirst_090415,left,2.3295,y = -2.3295x + 13.3710,0.9989398722341404,2.5622,2.1593,2.3621
166_pect_phfirst_090415,right,2.3622,y = -2.3622x + 13.7219,0.9988147010681735,2.5296,2.1804,2.4016
166_pect_phfirst_090415,whole,2.3457,y = -2.3457x + 14.2507,0.9989361755982831,2.5088,2.1725,2.3856
168_pect_phfirst_021616,left,2.4661,y = -2.4661x + 14.1559,0.9991243423611376,2.6358,2.2990,2.4908
168_pect_phfirst_021616,right,2.4263,y = -2.4263x + 14.1870,0.9992242018588502,2.5615,2.2762,2.4282
168_pect_phfirst_021616,whole,2.4433,y = -2.4433x + 14.8608,0.9992242859148855,2.5827,2.2848,2.4487
169_pect_phfirst_090315,left,2.4201,y = -2.4201x + 13.9056,0.9992218314767618,2.5943,2.2701,2.4200
169_pect_phfirst_090315,right,2.4431,y = -2.4431x + 14.3150,0.9987723435572292,2.6416,2.2578,2.4504
169_pect_phfirst_090315,whole,2.4333,y = -2.4333x + 14.8241,0.9989676511426601,2.5941,2.2633,2.4432
170_pect_phfirst_110915,left,2.3557,y = -2.3557x + 13.9873,0.9983946070894092,2.5303,2.1588,2.3982
170_pect_phfirst_110915,right,2.3535,y = -2.3535x + 14.1683,0.9982006770826963,2.5981,2.1396,2.3939
170_pect_phfirst_110915,whole,2.3527,y = -2.3527x + 14.7727,0.9983162070357383,2.5891,2.1446,2.3943
173_pect_phfirst_110915,left,2.4366,y = -2.4366x + 14.0536,0.9994183625534674,2.6112,2.2999,2.4508
173_pect_phfirst_110915,right,2.4526,y = -2.4526x + 14.3035,0.9992009802890789,2.6532,2.2964,2.4654
173_pect_phfirst_110915,whole,2.4439,y = -2.4439x + 14.8766,0.9993270383929639,2.6119,2.3007,2.4569
175_pect_phfirst_093015,right,2.4191,y = -2.4191x + 13.6171,0.9992567592480789,2.6540,2.2678,2.4218
175_pect_phfirst_093015,whole,2.3946,y = -2.3946x + 14.0918,0.9994577713683901,2.5215,2.2612,2.4060
176_pect_phfirst_030316,left,2.4183,y = -2.4183x + 13.9325,0.9987944284872056,2.5500,2.2102,2.4476
176_pect_phfirst_030316,right,2.4227,y = -2.4227x + 14.0087,0.9985961115139851,2.6598,2.2056,2.4468
176_pect_phfirst_030316,whole,2.4188,y = -2.4188x + 14.6619,0.9987275858608702,2.5905,2.2072,2.4335
177_pect_phfirst_012916,left,2.3895,y = -2.3895x + 14.4040,0.9987748274754543,2.6096,2.2151,2.4229
177_pect_phfirst_012916,right,2.4310,y = -2.4310x + 14.7807,0.9984777676085134,2.6848,2.2399,2.4817
177_pect_phfirst_012916,whole,2.4119,y = -2.4119x + 15.3001,0.9986751902141979,2.6233,2.2289,2.4482
179_pect_phfirst_022516,left,2.4030,y = -2.4030x + 14.1365,0.9993372932478645,2.5867,2.2597,2.4381
179_pect_phfirst_022516,right,2.4067,y = -2.4067x + 14.3142,0.9992870186063592,2.5980,2.2697,2.4325
179_pect_phfirst_022516,whole,2.4044,y = -2.4044x + 14.9210,0.9993259761303952,2.6100,2.2679,2.4302
183_pect_phfirst_031612,left,2.4331,y = -2.4331x + 14.4810,0.9983470614871912,2.6787,2.2042,2.4359
183_pect_phfirst_031612,right,2.4371,y = -2.4371x + 14.5879,0.9981421819834062,2.6622,2.1956,2.4390
183_pect_phfirst_031612,whole,2.4345,y = -2.4345x + 15.2280,0.9982611104543953,2.6358,2.1975,2.4396
184_pect_phfirst_083011,left,2.3142,y = -2.3142x + 13.8935,0.9989249069570627,2.5189,2.1544,2.3301
184_pect_phfirst_083011,right,2.3595,y = -2.3595x + 14.3589,0.9982354152326348,2.6268,2.1656,2.3990
184_pect_phfirst_083011,whole,2.3402,y = -2.3402x + 14.8438,0.9985603903311552,2.5643,2.1603,2.3805
185_pect_phfirst_040412,left,2.3070,y = -2.3070x + 13.7700,0.9985686392769975,2.5306,2.1105,2.3463
185_pect_phfirst_040412,right,2.3417,y = -2.3417x + 14.2546,0.9976552947365529,2.6731,2.1127,2.3961
185_pect_phfirst_040412,whole,2.3264,y = -2.3264x + 14.7314,0.9980748034296973,2.5177,2.1123,2.3671
186_pect_phfirst_031014,left,2.3826,y = -2.3826x + 13.5529,0.999087235095127,2.4602,2.2127,2.3980
186_pect_phfirst_031014,right,2.2566,y = -2.2566x + 12.6403,0.9995874215639736,2.3989,2.1519,2.2910
187_pect_phfirst_032414,left,2.3335,y = -2.3335x + 14.1076,0.9990071908995969,2.4507,2.1871,2.3615
187_pect_phfirst_032414,right,2.4809,y = -2.4809x + 14.6528,0.999052748926138,2.6379,2.2952,2.4995
187_pect_phfirst_032414,whole,2.4157,y = -2.4157x + 15.1000,0.9990985225925956,2.5414,2.2624,2.4535
188_pect_phfirst_072616,left,2.3320,y = -2.3320x + 13.7547,0.9983092326274889,2.5193,2.1221,2.3850
188_pect_phfirst_072616,right,2.2646,y = -2.2646x + 13.6087,0.9983183176840614,2.4547,2.0757,2.2923
188_pect_phfirst_072616,whole,2.2968,y = -2.2968x + 14.3719,0.9983609130415837,2.5200,2.1012,2.3328
190_pect_phfirst_110514,left,2.2584,y = -2.2584x + 12.7222,0.998382855144962,2.5736,2.0687,2.2794
190_pect_phfirst_110514,whole,2.2287,y = -2.2287x + 13.3142,0.9983600617406877,2.4897,2.0475,2.2703
195_pect_phfirst_061015,left,2.3531,y = -2.3531x + 13.9371,0.9978481322617618,2.6075,2.1195,2.3642
195_pect_phfirst_061015,right,2.3688,y = -2.3688x + 14.1303,0.9973953867399147,2.6429,2.1150,2.3772
195_pect_phfirst_061015,whole,2.3624,y = -2.3624x + 14.7326,0.9975537758000002,2.6351,2.1159,2.3702
196_pect_phfirst_042116,left,2.3741,y = -2.3741x + 14.3660,0.9989914486188813,2.5507,2.2165,2.3900
196_pect_phfirst_042116,right,2.3530,y = -2.3530x + 14.3891,0.9985955548235388,2.5902,2.1799,2.3821
196_pect_phfirst_042116,whole,2.3612,y = -2.3612x + 15.0671,0.9988297617836944,2.5522,2.1990,2.3901
197_pect_phfirst_042916,left,2.3946,y = -2.3946x + 13.7478,0.9997437328434364,2.4944,2.3059,2.4047
197_pect_phfirst_042916,right,2.4376,y = -2.4376x + 14.0685,0.9994367284822807,2.6235,2.3022,2.4509
197_pect_phfirst_042916,whole,2.4187,y = -2.4187x + 14.6134,0.999609064218825,2.5572,2.3034,2.4331
200_pect_phfirst_031616,left,2.3745,y = -2.3745x + 14.6294,0.9982827859047705,2.6017,2.1732,2.4168
200_pect_phfirst_031616,right,2.4090,y = -2.4090x + 14.7851,0.9982713025202702,2.6344,2.1999,2.4436
200_pect_phfirst_031616,whole,2.3921,y = -2.3921x + 15.4021,0.9982916963299973,2.6141,2.1881,2.4221
201_pect_phfirst_060111,left,2.3999,y = -2.3999x + 13.8590,0.9992831834540652,2.4658,2.2561,2.4157
201_pect_phfirst_060111,right,2.4300,y = -2.4300x + 14.0925,0.9991825143639715,2.5778,2.2739,2.4395
201_pect_phfirst_060111,whole,2.4150,y = -2.4150x + 14.6731,0.9992577672713087,2.5459,2.2661,2.4262
202_pect_phfirst_051416,left,2.2958,y = -2.2958x + 14.2764,0.9989454177102972,2.5528,2.1617,2.2918
202_pect_phfirst_051416,right,2.3110,y = -2.3110x + 14.5403,0.9984675435679881,2.6236,2.1479,2.3122
202_pect_phfirst_051416,whole,2.3031,y = -2.3031x + 15.1083,0.9987477312176736,2.5598,2.1522,2.3058
203_pect_phfirst_092015,left,2.3608,y = -2.3608x + 13.6081,0.9996363553788643,2.5294,2.2630,2.3829
203_pect_phfirst_092015,right,2.4026,y = -2.4026x + 14.0232,0.9993895127389455,2.5491,2.2730,2.4332
203_pect_phfirst_092015,whole,2.3841,y = -2.3841x + 14.5274,0.99951927118787,2.5007,2.2690,2.4105
204_pect_phfirst_060216,left,2.4138,y = -2.4138x + 14.1643,0.9993904974015869,2.5991,2.2853,2.4405
204_pect_phfirst_060216,right,2.4290,y = -2.4290x + 14.3543,0.9991168274928429,2.6069,2.2720,2.4677
204_pect_phfirst_060216,whole,2.4221,y = -2.4221x + 14.9571,0.9992389137153245,2.5739,2.2760,2.4562
210_pect_phfirst_101112,left,2.3479,y = -2.3479x + 13.6924,0.9993371905383651,2.5125,2.2164,2.3512
210_pect_phfirst_101112,right,2.3810,y = -2.3810x + 14.1293,0.9990637879943394,2.5794,2.2288,2.4044
210_pect_phfirst_101112,whole,2.3677,y = -2.3677x + 14.6271,0.9991934876250782,2.5638,2.2245,2.3902
212_pect_phfirst_082317,left,2.3997,y = -2.3997x + 14.2586,0.9985256310785334,2.6218,2.2013,2.4105
212_pect_phfirst_082317,right,2.4370,y = -2.4370x + 14.6691,0.9980862637152528,2.6726,2.2057,2.4477
212_pect_phfirst_082317,whole,2.4214,y = -2.4214x + 15.1774,0.9982785833479894,2.6480,2.2040,2.4333
213_pect_phfirst_121516,left,2.3475,y = -2.3475x + 13.9061,0.9991395694394815,2.4526,2.2014,2.3784
213_pect_phfirst_121516,right,2.4369,y = -2.4369x + 14.4068,0.9993735792153939,2.6115,2.3029,2.4608
213_pect_phfirst_121516,whole,2.3997,y = -2.3997x + 14.8775,0.9992835625195071,2.5752,2.2619,2.4165
214_pect_phfirst_100917,left,2.2866,y = -2.2866x + 13.6250,0.9991966094463748,2.5088,2.1641,2.2934
214_pect_phfirst_100917,right,2.3464,y = -2.3464x + 13.7054,0.9989908989948734,2.5645,2.1968,2.3414
214_pect_phfirst_100917,whole,2.3153,y = -2.3153x + 14.3563,0.9991179651300931,2.5761,2.1744,2.3391
215_pect_phfirst_102215,left,2.3611,y = -2.3611x + 14.3054,0.9980591091551293,2.5993,2.1441,2.3937
215_pect_phfirst_102215,right,2.3488,y = -2.3488x + 14.3110,0.9981517632822079,2.6232,2.1459,2.3614
215_pect_phfirst_102215,whole,2.3519,y = -2.3519x + 14.9970,0.9981928417778034,2.6129,2.1462,2.3768
216_pect_phfirst_101517,left,2.4240,y = -2.4240x + 14.1399,0.9989548577954394,2.6307,2.2447,2.4412
216_pect_phfirst_101517,right,2.4005,y = -2.4005x + 14.1548,0.9987401278608172,2.5897,2.2153,2.4463
216_pect_phfirst_101517,whole,2.4095,y = -2.4095x + 14.8368,0.9988972739679103,2.5839,2.2349,2.4192
217_pect_phfirst_030317,left,2.3475,y = -2.3475x + 13.9061,0.9991395694394815,2.4526,2.2014,2.3784
217_pect_phfirst_030317,right,2.4369,y = -2.4369x + 14.4068,0.9993735792153939,2.6115,2.3029,2.4608
217_pect_phfirst_030317,whole,2.3997,y = -2.3997x + 14.8775,0.9992835625195071,2.5752,2.2619,2.4165
219_pect_phfirst_081817,left,2.2487,y = -2.2487x + 13.8395,0.9988025912215934,2.5001,2.0983,2.2756
219_pect_phfirst_081817,right,2.2514,y = -2.2514x + 14.0091,0.9984978928412375,2.5703,2.1033,2.2407
219_pect_phfirst_081817,whole,2.2502,y = -2.2502x + 14.6206,0.9986639552068853,2.5078,2.1110,2.2392
223_pect_phfirst_090413,left,2.3758,y = -2.3758x + 13.4058,0.9994317178504781,2.4313,2.2447,2.3844
223_pect_phfirst_090413,right,2.4147,y = -2.4147x + 13.7301,0.9993247506954641,2.5701,2.2795,2.4067
223_pect_phfirst_090413,whole,2.3968,y = -2.3968x + 14.2734,0.9993619154978328,2.5291,2.2630,2.3917
224_pect_phfirst_050917,left,2.4026,y = -2.4026x + 14.6812,0.9973990232216535,2.6674,2.1436,2.4097
224_pect_phfirst_050917,right,2.3928,y = -2.3928x + 14.7510,0.9971035416596222,2.6664,2.1230,2.4618
224_pect_phfirst_050917,whole,2.3987,y = -2.3987x + 15.4118,0.9971875408421453,2.6649,2.1319,2.4033
225_pect_phfirst_091517,left,2.3777,y = -2.3777x + 14.3158,0.9990958549159814,2.6048,2.2257,2.3871
225_pect_phfirst_091517,right,2.3784,y = -2.3784x + 14.3492,0.9987207474152472,2.6136,2.2037,2.3950
225_pect_phfirst_091517,whole,2.3784,y = -2.3784x + 15.0271,0.9988882964335152,2.5950,2.2088,2.4119
226_pect_phfirst_040407,left,2.4655,y = -2.4655x + 14.7878,0.9985402310364068,2.6484,2.2420,2.4904
226_pect_phfirst_040407,right,2.4640,y = -2.4640x + 14.8425,0.9983496632089864,2.6577,2.2249,2.4887
226_pect_phfirst_040407,whole,2.4658,y = -2.4658x + 15.5103,0.99842792919795,2.6648,2.2350,2.4903
227_pect_phfirst_040215,left,2.4273,y = -2.4273x + 14.3649,0.9993307276836474,2.5663,2.2866,2.4614
227_pect_phfirst_040215,right,2.3893,y = -2.3893x + 14.3396,0.9990569864329232,2.5597,2.2325,2.4099
227_pect_phfirst_040215,whole,2.4076,y = -2.4076x + 15.0443,0.9992081433866904,2.5516,2.2573,2.4361
229_pect_phfirst_091817,left,2.3821,y = -2.3821x + 13.7731,0.999100209044776,2.5796,2.2246,2.4112
229_pect_phfirst_091817,right,2.3994,y = -2.3994x + 13.9992,0.9989161156790838,2.5982,2.2219,2.4441
229_pect_phfirst_091817,whole,2.3905,y = -2.3905x + 14.5835,0.9990166933535111,2.5403,2.2201,2.4352
231_pect_phfirst_081717,left,2.4135,y = -2.4135x + 13.9218,0.9994539610679333,2.5880,2.2811,2.4506
231_pect_phfirst_081717,right,2.4398,y = -2.4398x + 14.1761,0.999278922652115,2.6311,2.2991,2.4726
231_pect_phfirst_081717,whole,2.4270,y = -2.4270x + 14.7495,0.9993590401888617,2.6167,2.2909,2.4584
233_pect_phfirst_022916,left,2.2973,y = -2.2973x + 13.3201,0.9991604833616936,2.4708,2.1510,2.3062
233_pect_phfirst_022916,right,2.3477,y = -2.3477x + 13.8291,0.9982873451486276,2.6029,2.1507,2.3805
233_pect_phfirst_022916,whole,2.3264,y = -2.3264x + 14.2968,0.9987495002984262,2.5341,2.1515,2.3431
236_pect_phfirst_072417,left,2.4607,y = -2.4607x + 14.1314,0.999361776019319,2.5960,2.3200,2.4660
236_pect_phfirst_072417,right,2.4400,y = -2.4400x + 14.2425,0.9990789810013122,2.6034,2.2805,2.4821
236_pect_phfirst_072417,whole,2.4479,y = -2.4479x + 14.8793,0.9992469211631025,2.5947,2.3015,2.4590
237_pect_phfirst_080717,left,2.4097,y = -2.4097x + 14.1073,0.9990838374135337,2.5837,2.2314,2.4215
237_pect_phfirst_080717,right,2.4365,y = -2.4365x + 14.4296,0.9985703031712612,2.6609,2.2306,2.4509
237_pect_phfirst_080717,whole,2.4254,y = -2.4254x + 14.9748,0.998799272808692,2.6285,2.2316,2.4273
238_pect_phfirst_081616,left,2.3280,y = -2.3280x + 14.0266,0.9989715350515151,2.5185,2.1645,2.3551
238_pect_phfirst_081616,right,2.4047,y = -2.4047x + 14.5822,0.998115749616556,2.6526,2.1866,2.4268
242_pect_phfirst_032117,left,2.4278,y = -2.4278x + 14.2386,0.9988765089845922,2.5916,2.2336,2.4507
242_pect_phfirst_032117,right,2.4546,y = -2.4546x + 14.4323,0.9986200776468493,2.6090,2.2354,2.4622
242_pect_phfirst_032117,whole,2.4392,y = -2.4392x + 15.0278,0.9987785991754589,2.5959,2.2338,2.4632
246_pect_phfirst_060817,left,2.3869,y = -2.3869x + 14.0894,0.9987222417382351,2.5659,2.1944,2.4432
246_pect_phfirst_060817,right,2.3786,y = -2.3786x + 14.1803,0.9983359480189653,2.5964,2.1691,2.4223
246_pect_phfirst_060817,whole,2.3822,y = -2.3822x + 14.8289,0.9985318379163663,2.5975,2.1812,2.4290
248_pect_phfirst_111517,left,2.3125,y = -2.3125x + 14.4412,0.9986311815248406,2.6000,2.1578,2.3134
248_pect_phfirst_111517,right,2.3199,y = -2.3199x + 14.5243,0.9982944792553673,2.6112,2.1392,2.3360
248_pect_phfirst_111517,whole,2.3169,y = -2.3169x + 15.1780,0.9984497275356631,2.6092,2.1478,2.3259
253_pect_phfirst_092014,left,2.4245,y = -2.4245x + 14.2800,0.999307733279032,2.6132,2.2812,2.4554
253_pect_phfirst_092014,right,2.4778,y = -2.4778x + 14.8055,0.998890622873721,2.6354,2.3028,2.4984
253_pect_phfirst_092014,whole,2.4574,y = -2.4574x + 15.2699,0.99905994310473,2.6101,2.2950,2.5018
255_pect_phfirst_111617,left,2.4076,y = -2.4076x + 14.0044,0.9991089486368301,2.5799,2.2410,2.4502
255_pect_phfirst_111617,right,2.3557,y = -2.3557x + 13.9262,0.9989435504486507,2.5624,2.1900,2.3804
255_pect_phfirst_111617,whole,2.3800,y = -2.3800x + 14.6560,0.9990451931597044,2.5539,2.2168,2.4135
257_pect_phfirst_090217,left,2.3543,y = -2.3543x + 13.9920,0.9993481938433407,2.5513,2.2308,2.3562
257_pect_phfirst_090217,right,2.3671,y = -2.3671x + 13.9468,0.9991884604484655,2.5337,2.2228,2.3870
257_pect_phfirst_090217,whole,2.3618,y = -2.3618x + 14.6654,0.999244006793042,2.5333,2.2258,2.3716
261_pect_phfirst_022317,left,2.4234,y = -2.4234x + 13.8615,0.9995869888505029,2.4902,2.3015,2.4650
261_pect_phfirst_022317,right,2.4108,y = -2.4108x + 14.1520,0.9991753254044445,2.5850,2.2576,2.4464
261_pect_phfirst_022317,whole,2.4152,y = -2.4152x + 14.7097,0.9993704694953163,2.5574,2.2779,2.4479
262_pect_phfirst_013117,left,2.3912,y = -2.3912x + 14.0943,0.9991347045392329,2.5404,2.2367,2.4344
262_pect_phfirst_013117,right,2.4393,y = -2.4393x + 14.3544,0.9989405459199092,2.6049,2.2645,2.4330
262_pect_phfirst_013117,whole,2.4167,y = -2.4167x + 14.9248,0.9990160207632249,2.6089,2.2546,2.4241
265_pect_phfirst_051017,left,2.3576,y = -2.3576x + 13.6520,0.9993881489598768,2.4703,2.2353,2.3766
265_pect_phfirst_051017,right,2.3397,y = -2.3397x + 13.6629,0.9995482373213262,2.5284,2.2367,2.3641
265_pect_phfirst_051017,whole,2.3471,y = -2.3471x + 14.3477,0.9994997767082865,2.4355,2.2362,2.3607
267_pect_phfirst_010117,left,2.4708,y = -2.4708x + 14.0003,0.9996490543912242,2.6229,2.3425,2.4948
267_pect_phfirst_010117,right,2.4967,y = -2.4967x + 14.2138,0.9993959964686737,2.6167,2.3355,2.5194
267_pect_phfirst_010117,whole,2.4833,y = -2.4833x + 14.8024,0.9995515205046511,2.5607,2.3397,2.5006
268_pect_phfirst_090415,left,2.3295,y = -2.3295x + 13.3710,0.9989398722341404,2.5622,2.1593,2.3621
268_pect_phfirst_090415,right,2.3622,y = -2.3622x + 13.7219,0.9988147010681735,2.5296,2.1804,2.4016
268_pect_phfirst_090415,whole,2.3457,y = -2.3457x + 14.2507,0.9989361755982831,2.5088,2.1725,2.3856
269_pect_phfirst_012417,left,2.4084,y = -2.4084x + 13.7478,0.9984543426669976,2.6043,2.1744,2.4247
269_pect_phfirst_012417,right,2.4036,y = -2.4036x + 13.7875,0.9985123375193565,2.5904,2.1738,2.4207
269_pect_phfirst_012417,whole,2.4024,y = -2.4024x + 14.4549,0.9985853596131438,2.5843,2.1730,2.4243
270_pect_phfirst_122916,left,2.4075,y = -2.4075x + 14.5075,0.9980252211053704,2.6170,2.1763,2.4211
270_pect_phfirst_122916,right,2.4208,y = -2.4208x + 14.7091,0.9976991334059334,2.6702,2.1706,2.4286
270_pect_phfirst_122916,whole,2.4142,y = -2.4142x + 15.3062,0.9978415832803622,2.6375,2.1707,2.4243
271_pect_phfirst_040617,left,2.3600,y = -2.3600x + 14.2623,0.9981705528132028,2.6141,2.1463,2.3939
271_pect_phfirst_040617,right,2.3570,y = -2.3570x + 14.4108,0.9977672634989728,2.6200,2.1278,2.3916
271_pect_phfirst_040617,whole,2.3562,y = -2.3562x + 15.0294,0.9980212873081764,2.6099,2.1353,2.3918
272_pect_phfirst_100117,left,2.4171,y = -2.4171x + 13.6811,0.9997131574735931,2.4984,2.3319,2.4222
272_pect_phfirst_100117,right,2.4233,y = -2.4233x + 13.8067,0.999746460193219,2.5225,2.3336,2.4430
272_pect_phfirst_100117,whole,2.4188,y = -2.4188x + 14.4356,0.9997712910854429,2.5113,2.3419,2.4238
275_pect_phfirst_112311,left,2.3262,y = -2.3262x + 13.4116,0.9992620945367715,2.5597,2.1885,2.3329
275_pect_phfirst_112311,right,2.3686,y = -2.3686x + 13.9294,0.9982781879739759,2.5971,2.1671,2.4156
275_pect_phfirst_112311,whole,2.3485,y = -2.3485x + 14.3897,0.99880438792446,2.6177,2.1755,2.3877
