SID,Lobe,Fractal_Dimension,Linear_Fit,R_Squared,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
016_pect_phfirst_022713,right,2.4504,y = -2.4504x + 14.5897,0.9986980600508646,2.6519,2.2665,2.4935
016_pect_phfirst_022713,whole,2.4059,y = -2.4059x + 14.9254,0.9991898660382589,2.5731,2.2592,2.4328
017_pect_phfirst_092710,left,2.3841,y = -2.3841x + 14.1990,0.9987498755827205,2.5896,2.2059,2.4270
017_pect_phfirst_092710,right,2.4297,y = -2.4297x + 14.5210,0.9982945652970487,2.6555,2.2106,2.4410
017_pect_phfirst_092710,whole,2.4074,y = -2.4074x + 15.0613,0.9985748992827219,2.5635,2.2155,2.4123
019_pect_phfirst_060413,left,2.3527,y = -2.3527x + 14.0697,0.9987506807746476,2.6089,2.1851,2.3852
019_pect_phfirst_060413,right,2.4095,y = -2.4095x + 14.3186,0.9989109284959877,2.5706,2.2383,2.4465
019_pect_phfirst_060413,whole,2.3812,y = -2.3812x + 14.8907,0.9988837129121085,2.5915,2.2145,2.4088
020_pect_phfirst_041911,left,2.4193,y = -2.4193x + 14.6360,0.9981099568202383,2.6079,2.1923,2.4713
020_pect_phfirst_041911,right,2.4001,y = -2.4001x + 14.6025,0.9980293008859011,2.6539,2.1803,2.4391
020_pect_phfirst_041911,whole,2.4079,y = -2.4079x + 15.3093,0.9981293573286438,2.6436,2.1928,2.4495
021_pect_phfirst_040910,left,2.3271,y = -2.3271x + 13.8008,0.9992607303378137,2.4374,2.1954,2.3638
021_pect_phfirst_040910,right,2.3893,y = -2.3893x + 14.2284,0.9985833274656752,2.5895,2.1965,2.4355
021_pect_phfirst_040910,whole,2.3617,y = -2.3617x + 14.7264,0.9989278354868838,2.5548,2.1940,2.3999
022_pect_phfirst_121412,left,2.3722,y = -2.3722x + 13.9864,0.9992843317392696,2.5111,2.2303,2.4070
022_pect_phfirst_121412,right,2.3979,y = -2.3979x + 14.4114,0.9988138979307974,2.5655,2.2139,2.4413
022_pect_phfirst_121412,whole,2.3873,y = -2.3873x + 14.9147,0.9990291645063775,2.5421,2.2220,2.4263
023_pect_phfirst_040611,left,2.3564,y = -2.3564x + 14.8575,0.9985723629402836,2.6057,2.1882,2.3758
023_pect_phfirst_040611,right,2.3804,y = -2.3804x + 14.9456,0.9986417174295452,2.6375,2.2073,2.4139
023_pect_phfirst_040611,whole,2.3684,y = -2.3684x + 15.5950,0.9986415739034022,2.6118,2.1972,2.3953
024_pect_phfirst_032509,left,2.2649,y = -2.2649x + 13.4389,0.9996378277814869,2.4215,2.1716,2.2818
024_pect_phfirst_032509,right,2.3439,y = -2.3439x + 14.7092,0.9980235893893161,2.6187,2.1455,2.3731
024_pect_phfirst_032509,whole,2.3233,y = -2.3233x + 14.9532,0.9985818086079237,2.5689,2.1549,2.3458
025_pect_phfirst_013008,left,2.3308,y = -2.3308x + 14.1850,0.9988800454420399,2.5131,2.1658,2.3702
