feature,lobe,artery_or_vein,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_FACTOR_0_5_SCALE_ArtVein__Fractal_Dimension,whole,vein,0.5,91,1.899467004,0.074292028,1.685006426,1.861516105,1.90298685,1.94722307,2.089638184,37,1.941384085,0.056525503,1.811714,1.906880688,1.934589692,1.965973627,2.089638184,12,1.883359118,0.092453012,1.698669002,1.849673194,1.885145513,1.932877023,2.026279952,42,1.867142304,0.065459024,1.685006426,1.841734393,1.868940505,1.911907764,1.984096622,,0.011834036,0.014858921,8.45E-07,1.29E-06,0.494556095,0.182713546
FDs_FACTOR_0_6_SCALE_ArtVein__Fractal_Dimension,whole,vein,0.6,91,1.954799758,0.071954611,1.742923102,1.918318487,1.955949963,1.999055337,2.108654865,37,1.996002353,0.054210574,1.873331988,1.959207008,1.992789117,2.042379376,2.108654865,12,1.940173522,0.087297036,1.762229234,1.905286428,1.941356662,1.986057432,2.078525119,42,1.922681159,0.063943466,1.742923102,1.892554911,1.923923105,1.958208357,2.034568752,,0.011050425,0.014858921,5.68E-07,9.22E-07,0.445683809,0.188276311
FDs_FACTOR_0_7_SCALE_ArtVein__Fractal_Dimension,whole,vein,0.7,91,2.002367685,0.070326769,1.796112061,1.964415404,2.002404531,2.046630031,2.150634041,37,2.042973001,0.053382409,1.924193559,2.01319927,2.043791928,2.084900396,2.150634041,12,1.989495972,0.082873808,1.821971206,1.953201762,1.990680823,2.038378049,2.123536594,42,1.970273966,0.062612994,1.796112061,1.940532969,1.971119773,2.002813689,2.076815809,,0.01196236,0.014007353,4.51E-07,8.78E-07,0.387667723,0.171899708
FDs_FACTOR_0_8_SCALE_ArtVein__Fractal_Dimension,whole,vein,0.8,91,2.046150492,0.068274311,1.844094554,2.006739319,2.047518756,2.093458963,2.190577356,37,2.084572973,0.051560476,1.971935919,2.054185208,2.087009201,2.123086226,2.190577356,12,2.038445657,0.076226698,1.869160972,2.005646984,2.034173067,2.086167629,2.164631945,42,2.014503498,0.062956433,1.844094554,1.98138127,2.018130501,2.050777129,2.125645879,,0.021286097,0.015754631,8.19E-07,1.36E-06,0.272756907,0.132825252
FDs_FACTOR_0_9_SCALE_ArtVein__Fractal_Dimension,whole,vein,0.9,91,2.084324513,0.067833811,1.881356374,2.044163693,2.090563677,2.1336177,2.226069487,37,2.122409488,0.050668641,2.008382023,2.093799004,2.123855014,2.16218964,2.226069487,12,2.078876054,0.072158659,1.916950313,2.043804537,2.074768538,2.124487628,2.198362319,42,2.052330167,0.063900321,1.881356374,2.021117911,2.051269865,2.095412778,2.167151522,,0.024617952,0.018724609,8.74E-07,1.42E-06,0.222844203,0.096733459
FDs_FACTOR_1_0_SCALE_ArtVein__Fractal_Dimension,whole,vein,1,91,2.118345158,0.066400512,1.921161584,2.076549937,2.125151366,2.169223069,2.258139394,37,2.154396967,0.050174008,2.041688107,2.125151366,2.153558813,2.192945186,2.258139394,12,2.114657053,0.070770844,1.95679109,2.078472907,2.112163617,2.158811083,2.232230743,42,2.087638976,0.063098354,1.921161584,2.056203386,2.082710787,2.12934398,2.204412931,,0.03686904,0.033993881,1.90E-06,3.32E-06,0.208382579,0.093217764
FDs_FACTOR_1_1_SCALE_ArtVein__Fractal_Dimension,whole,vein,1.1,91,2.149147153,0.065427459,1.957330379,2.105961395,2.156558947,2.201329997,2.286930984,37,2.184542429,0.04941685,2.072502254,2.156558947,2.18738956,2.21957165,2.286930984,12,2.14251781,0.067722388,1.99402924,2.106137971,2.14570918,2.189866146,2.237572489,42,2.119859699,0.063245099,1.957330379,2.086922837,2.118440283,2.167237381,2.240481582,,0.024064713,0.029057032,3.31E-06,5.50E-06,0.286047812,0.132825252
FDs_FACTOR_1_2_SCALE_ArtVein__Fractal_Dimension,whole,vein,1.2,91,2.178845977,0.065176006,1.98756154,2.135692089,2.184403958,2.228640927,2.313147578,37,2.213926114,0.049396274,2.102326127,2.184403958,2.217003429,2.246705689,2.313147578,12,2.16959515,0.068679407,2.030484157,2.13646605,2.172218949,2.218565055,2.26599335,42,2.15058514,0.062952326,1.98756154,2.120509306,2.149198294,2.196616553,2.272190458,,0.018178874,0.026108794,4.67E-06,7.20E-06,0.369887083,0.15646248
FDs_FACTOR_1_3_SCALE_ArtVein__Fractal_Dimension,whole,vein,1.3,91,2.20639288,0.06527151,2.018744219,2.162088151,2.210357732,2.253257479,2.334440592,37,2.24139647,0.050164004,2.128279116,2.210357732,2.242775012,2.278498621,2.334440592,12,2.197163602,0.067866034,2.061143338,2.167462012,2.199898563,2.244969711,2.292480374,42,2.178193321,0.06294067,2.018744219,2.143957505,2.178243598,2.223212811,2.302191899,,0.019029314,0.024731139,5.39E-06,8.99E-06,0.369456464,0.15646248
FDs_FACTOR_1_4_SCALE_ArtVein__Fractal_Dimension,whole,vein,1.4,91,2.230446457,0.063711375,2.047854443,2.18620408,2.233611655,2.280371983,2.351988397,37,2.263638401,0.048198809,2.152030878,2.233611655,2.261138142,2.303305133,2.351988397,12,2.223404447,0.067599443,2.088240814,2.193475991,2.225066219,2.268453681,2.316237391,42,2.203217937,0.062259656,2.047854443,2.171858198,2.202504246,2.246706355,2.330132383,,0.027896865,0.037653595,8.41E-06,1.33E-05,0.335394843,0.141967311
FDs_FACTOR_1_5_SCALE_ArtVein__Fractal_Dimension,whole,vein,1.5,91,2.253280098,0.062920756,2.072549644,2.209621234,2.256839642,2.3031063,2.37741872,37,2.28527528,0.048171274,2.173847313,2.255025628,2.283361325,2.323020392,2.37741872,12,2.24566799,0.066107356,2.116243291,2.219518164,2.24624991,2.290875332,2.335539484,42,2.227268753,0.062021682,2.072549644,2.200193164,2.225009915,2.265806912,2.355944326,,0.028961747,0.037653595,1.66E-05,2.33E-05,0.375687514,0.146694499
FDs_20SizeBy1_allOffsets_ArtVein__Fractal_Dimension,whole,vein,1,91,1.974599538,0.049041593,1.805165378,1.949601094,1.98251009,2.004298255,2.074454678,37,1.994412811,0.036716462,1.919013686,1.967849517,1.991933966,2.010233803,2.074454678,12,1.979893357,0.028442541,1.94155609,1.953312956,1.977823967,2.002350099,2.024645707,42,1.955632468,0.056104428,1.805165378,1.926051881,1.957510187,1.993893026,2.072178089,,0.217371158,0.106777436,0.000596015,0.00062456,0.156145205,0.080096535
