feature,lobe,artery_or_vein,FD_type,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_FACTOR_1_3_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1.3,91,2.125797094,0.052631304,1.933480216,2.0964832,2.13317688,2.15672634,2.229405004,37,2.149570226,0.037904191,2.072875077,2.122232932,2.14866384,2.168047808,2.229405004,12,2.129605123,0.029609399,2.085801465,2.110125351,2.13206606,2.14136757,2.178160633,42,2.103766089,0.05976957,1.933480216,2.068025359,2.109186052,2.146029223,2.215281676,,0.10292358,0.03960064,0.000142222,0.000230446,0.155660092,0.0864712
FDs_FACTOR_1_4_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1.4,91,2.171708936,0.053165938,1.974186289,2.142928764,2.177440592,2.204528435,2.274889118,37,2.196316191,0.037913206,2.118109223,2.169203768,2.194284271,2.214974849,2.274889118,12,2.175342366,0.029590802,2.128540061,2.157276011,2.176006306,2.186901503,2.225965155,42,2.148992995,0.060239727,1.974186289,2.112623592,2.154412049,2.192392951,2.260181778,,0.087156302,0.037653595,9.70E-05,0.000164747,0.150728196,0.0864712
FDs_FACTOR_1_5_SCALE_20SizeBy1_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1.5,91,2.214279987,0.053513811,2.012623214,2.183178732,2.219542729,2.24783424,2.316580664,37,2.239507288,0.037719275,2.1609181,2.212913689,2.23752657,2.257665162,2.316580664,12,2.217702548,0.030163058,2.168065979,2.20100962,2.216639623,2.230043606,2.270260291,42,2.191078061,0.060528368,2.012623214,2.15506682,2.196170755,2.235298546,2.302616813,,0.075356913,0.03227677,7.12E-05,0.000112488,0.148843424,0.077045541
FDs_FACTOR_0_5_SCALE_ArtVein__Fractal_Dimension,whole,vein,,0.5,91,1.899467004,0.074292028,1.685006426,1.861516105,1.90298685,1.94722307,2.089638184,37,1.941384085,0.056525503,1.811714,1.906880688,1.934589692,1.965973627,2.089638184,12,1.883359118,0.092453012,1.698669002,1.849673194,1.885145513,1.932877023,2.026279952,42,1.867142304,0.065459024,1.685006426,1.841734393,1.868940505,1.911907764,1.984096622,,0.011834036,0.014858921,8.45E-07,1.29E-06,0.494556095,0.182713546
FDs_FACTOR_0_6_SCALE_ArtVein__Fractal_Dimension,whole,vein,,0.6,91,1.954799758,0.071954611,1.742923102,1.918318487,1.955949963,1.999055337,2.108654865,37,1.996002353,0.054210574,1.873331988,1.959207008,1.992789117,2.042379376,2.108654865,12,1.940173522,0.087297036,1.762229234,1.905286428,1.941356662,1.986057432,2.078525119,42,1.922681159,0.063943466,1.742923102,1.892554911,1.923923105,1.958208357,2.034568752,,0.011050425,0.014858921,5.68E-07,9.22E-07,0.445683809,0.188276311
FDs_FACTOR_0_7_SCALE_ArtVein__Fractal_Dimension,whole,vein,,0.7,91,2.002367685,0.070326769,1.796112061,1.964415404,2.002404531,2.046630031,2.150634041,37,2.042973001,0.053382409,1.924193559,2.01319927,2.043791928,2.084900396,2.150634041,12,1.989495972,0.082873808,1.821971206,1.953201762,1.990680823,2.038378049,2.123536594,42,1.970273966,0.062612994,1.796112061,1.940532969,1.971119773,2.002813689,2.076815809,,0.01196236,0.014007353,4.51E-07,8.78E-07,0.387667723,0.171899708
FDs_FACTOR_0_8_SCALE_ArtVein__Fractal_Dimension,whole,vein,,0.8,91,2.046150492,0.068274311,1.844094554,2.006739319,2.047518756,2.093458963,2.190577356,37,2.084572973,0.051560476,1.971935919,2.054185208,2.087009201,2.123086226,2.190577356,12,2.038445657,0.076226698,1.869160972,2.005646984,2.034173067,2.086167629,2.164631945,42,2.014503498,0.062956433,1.844094554,1.98138127,2.018130501,2.050777129,2.125645879,,0.021286097,0.015754631,8.19E-07,1.36E-06,0.272756907,0.132825252
FDs_FACTOR_0_9_SCALE_ArtVein__Fractal_Dimension,whole,vein,,0.9,91,2.084324513,0.067833811,1.881356374,2.044163693,2.090563677,2.1336177,2.226069487,37,2.122409488,0.050668641,2.008382023,2.093799004,2.123855014,2.16218964,2.226069487,12,2.078876054,0.072158659,1.916950313,2.043804537,2.074768538,2.124487628,2.198362319,42,2.052330167,0.063900321,1.881356374,2.021117911,2.051269865,2.095412778,2.167151522,,0.024617952,0.018724609,8.74E-07,1.42E-06,0.222844203,0.096733459
FDs_FACTOR_1_0_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1,91,2.118345158,0.066400512,1.921161584,2.076549937,2.125151366,2.169223069,2.258139394,37,2.154396967,0.050174008,2.041688107,2.125151366,2.153558813,2.192945186,2.258139394,12,2.114657053,0.070770844,1.95679109,2.078472907,2.112163617,2.158811083,2.232230743,42,2.087638976,0.063098354,1.921161584,2.056203386,2.082710787,2.12934398,2.204412931,,0.03686904,0.033993881,1.90E-06,3.32E-06,0.208382579,0.093217764
FDs_FACTOR_1_1_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1.1,91,2.149147153,0.065427459,1.957330379,2.105961395,2.156558947,2.201329997,2.286930984,37,2.184542429,0.04941685,2.072502254,2.156558947,2.18738956,2.21957165,2.286930984,12,2.14251781,0.067722388,1.99402924,2.106137971,2.14570918,2.189866146,2.237572489,42,2.119859699,0.063245099,1.957330379,2.086922837,2.118440283,2.167237381,2.240481582,,0.024064713,0.029057032,3.31E-06,5.50E-06,0.286047812,0.132825252
FDs_FACTOR_1_2_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1.2,91,2.178845977,0.065176006,1.98756154,2.135692089,2.184403958,2.228640927,2.313147578,37,2.213926114,0.049396274,2.102326127,2.184403958,2.217003429,2.246705689,2.313147578,12,2.16959515,0.068679407,2.030484157,2.13646605,2.172218949,2.218565055,2.26599335,42,2.15058514,0.062952326,1.98756154,2.120509306,2.149198294,2.196616553,2.272190458,,0.018178874,0.026108794,4.67E-06,7.20E-06,0.369887083,0.15646248
FDs_FACTOR_1_3_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1.3,91,2.20639288,0.06527151,2.018744219,2.162088151,2.210357732,2.253257479,2.334440592,37,2.24139647,0.050164004,2.128279116,2.210357732,2.242775012,2.278498621,2.334440592,12,2.197163602,0.067866034,2.061143338,2.167462012,2.199898563,2.244969711,2.292480374,42,2.178193321,0.06294067,2.018744219,2.143957505,2.178243598,2.223212811,2.302191899,,0.019029314,0.024731139,5.39E-06,8.99E-06,0.369456464,0.15646248
FDs_FACTOR_1_4_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1.4,91,2.230446457,0.063711375,2.047854443,2.18620408,2.233611655,2.280371983,2.351988397,37,2.263638401,0.048198809,2.152030878,2.233611655,2.261138142,2.303305133,2.351988397,12,2.223404447,0.067599443,2.088240814,2.193475991,2.225066219,2.268453681,2.316237391,42,2.203217937,0.062259656,2.047854443,2.171858198,2.202504246,2.246706355,2.330132383,,0.027896865,0.037653595,8.41E-06,1.33E-05,0.335394843,0.141967311
FDs_FACTOR_1_5_SCALE_ArtVein__Fractal_Dimension,whole,vein,,1.5,91,2.253280098,0.062920756,2.072549644,2.209621234,2.256839642,2.3031063,2.37741872,37,2.28527528,0.048171274,2.173847313,2.255025628,2.283361325,2.323020392,2.37741872,12,2.24566799,0.066107356,2.116243291,2.219518164,2.24624991,2.290875332,2.335539484,42,2.227268753,0.062021682,2.072549644,2.200193164,2.225009915,2.265806912,2.355944326,,0.028961747,0.037653595,1.66E-05,2.33E-05,0.375687514,0.146694499
FDs_FACTOR_0_5_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,0.5,91,2.085841867,0.080370726,1.8187513,2.044346449,2.082200282,2.145112573,2.224014504,37,2.127275547,0.06279442,1.970010635,2.076755618,2.14104834,2.173889124,2.224014504,12,2.051712104,0.103290848,1.8187513,2.033297203,2.078186905,2.120366863,2.162322212,42,2.059092129,0.072328512,1.881144043,2.014885184,2.059560905,2.10874348,2.199882348,,0.003627946,0.007558255,2.91E-05,3.12E-05,0.778884572,0.365685156
FDs_FACTOR_0_6_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,0.6,91,2.108021158,0.078865324,1.851310204,2.067526887,2.107013141,2.168602665,2.244666657,37,2.148055459,0.062648862,1.990781625,2.099423498,2.15948792,2.19310153,2.244666657,12,2.075076757,0.099868978,1.851310204,2.054719609,2.10171488,2.138175954,2.187144439,42,2.082165531,0.071288795,1.907901268,2.037716181,2.084456077,2.130558258,2.221846517,,0.004238107,0.009141728,4.33E-05,4.34E-05,0.782953856,0.373538097
FDs_FACTOR_0_7_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,0.7,91,2.128002881,0.077134277,1.883994463,2.08938794,2.129264197,2.187936536,2.261963162,37,2.166667122,0.062154407,2.010377636,2.119930939,2.176260089,2.20947496,2.261963162,12,2.09665441,0.095908129,1.883994463,2.075165948,2.12344848,2.153842678,2.20797199,42,2.102898233,0.070129044,1.93261911,2.057457404,2.106625111,2.149426469,2.240957415,,0.004972025,0.008584311,5.90E-05,5.76E-05,0.803600803,0.373538097
FDs_FACTOR_0_8_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,0.8,91,2.146344115,0.0759254,1.908619316,2.108419415,2.147480352,2.20493916,2.277501754,37,2.184025289,0.061914779,2.028491992,2.135479484,2.192414262,2.227307339,2.277501754,12,2.114600204,0.093600161,1.908619316,2.092667153,2.141593382,2.170593572,2.225961076,42,2.122218483,0.069030212,1.955764273,2.076659596,2.125949339,2.168087479,2.257481041,,0.004815878,0.008056936,8.03E-05,6.49E-05,0.757251473,0.413533131
FDs_FACTOR_0_9_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,0.9,91,2.163156594,0.074913486,1.93380558,2.12582456,2.164249211,2.22190307,2.293320212,37,2.200017535,0.062039915,2.042402891,2.151955396,2.207552765,2.243785547,2.293320212,12,2.132265188,0.091247668,1.93380558,2.10921929,2.15905349,2.187711575,2.24303254,42,2.139509978,0.068025075,1.976648092,2.093805759,2.142366645,2.18551711,2.273787325,,0.005441039,0.00708696,9.80E-05,8.57E-05,0.76467484,0.429811848
FDs_FACTOR_1_0_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1,91,2.178461963,0.073806412,1.956982474,2.142409395,2.180236042,2.238187955,2.304802959,37,2.2140474,0.061970072,2.056831357,2.167097674,2.222486363,2.2619585,2.304802959,12,2.148018951,0.088830967,1.956982474,2.124748591,2.174423582,2.201649603,2.259034153,42,2.155810892,0.067297977,1.997191234,2.108748704,2.158610358,2.201302085,2.289033942,,0.006095886,0.008056936,0.000153614,0.00013118,0.743594073,0.454446712
FDs_FACTOR_1_1_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1.1,91,2.192564021,0.072691368,1.978590585,2.156975756,2.19389344,2.25152723,2.317732008,37,2.227202393,0.061655096,2.070949452,2.17992403,2.236951137,2.276479553,2.317732008,12,2.16245601,0.086326062,1.978590585,2.139153261,2.188712525,2.215616159,2.273648104,42,2.170651554,0.066498257,2.014860265,2.122525706,2.173300214,2.214966876,2.30224657,,0.006362545,0.008056936,0.000202874,0.000184399,0.726352126,0.470973919
FDs_FACTOR_1_2_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1.2,91,2.205648247,0.07181263,1.998323817,2.169405422,2.206577991,2.26421387,2.329709265,37,2.239536469,0.061763411,2.081211684,2.191505675,2.249749345,2.289881137,2.329709265,12,2.175697446,0.084318702,1.998323817,2.150989187,2.201246152,2.228652583,2.286552614,42,2.184351709,0.065573318,2.03168615,2.134641597,2.186360392,2.227374811,2.315054511,,0.006687403,0.00622152,0.000255165,0.000257301,0.707024403,0.495849827
FDs_FACTOR_1_3_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1.3,91,2.217730745,0.071113405,2.01646782,2.181905092,2.219764264,2.277109755,2.340462557,37,2.250704053,0.061787274,2.093533143,2.202955733,2.262800791,2.302122409,2.340462557,12,2.18853525,0.082923566,2.01646782,2.163188435,2.212882831,2.241405608,2.298927523,42,2.1970244,0.0650705,2.048551557,2.146818204,2.199107433,2.23911581,2.32677819,,0.007806284,0.008056936,0.000345133,0.000276795,0.709476743,0.487551276
FDs_FACTOR_1_4_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1.4,91,2.229198228,0.070154344,2.031437269,2.192652951,2.229634157,2.287878044,2.35003368,37,2.261324522,0.061413087,2.105045745,2.213750668,2.273159899,2.312941904,2.35003368,12,2.200311656,0.081786178,2.031437269,2.174397667,2.22274764,2.253590101,2.311449936,42,2.2091498,0.064109162,2.064335082,2.158751993,2.21184821,2.250155948,2.338098522,,0.008392778,0.008056936,0.000428845,0.000369359,0.693926271,0.487551276
FDs_FACTOR_1_5_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,vein,ManySizeBy1,1.5,91,2.239742286,0.069445344,2.047849292,2.20271027,2.242281133,2.297665482,2.359934808,37,2.271108044,0.061478961,2.115563604,2.224559263,2.283074199,2.321852206,2.359934808,12,2.210651439,0.080181445,2.047849292,2.184120601,2.23088433,2.264018324,2.32099751,42,2.220422217,0.063441542,2.078372168,2.169400669,2.222167512,2.259726273,2.34826682,,0.008575327,0.008056936,0.000570159,0.000425743,0.659360599,0.454446712
FDs_20SizeBy1_allOffsets_ArtVein__Fractal_Dimension,whole,vein,20SizeBy1,1,91,1.974599538,0.049041593,1.805165378,1.949601094,1.98251009,2.004298255,2.074454678,37,1.994412811,0.036716462,1.919013686,1.967849517,1.991933966,2.010233803,2.074454678,12,1.979893357,0.028442541,1.94155609,1.953312956,1.977823967,2.002350099,2.024645707,42,1.955632468,0.056104428,1.805165378,1.926051881,1.957510187,1.993893026,2.072178089,,0.217371158,0.106777436,0.000596015,0.00062456,0.156145205,0.080096535
FDs_20Size_allOffsets_ArtVein__Fractal_Dimension,whole,vein,,1,91,1.988764649,0.04832834,1.816917941,1.967501567,1.99200589,2.018945181,2.084922497,37,2.007528645,0.035730329,1.933344003,1.98105296,2.004270676,2.024618957,2.082159816,12,1.995096183,0.026775048,1.958806213,1.968362353,1.992050222,2.017801137,2.03602306,42,1.970425452,0.056032873,1.816917941,1.942391621,1.973683366,2.009181378,2.084922497,,0.274498178,0.134720114,0.000898389,0.000847634,0.147459948,0.074083688
