feature,lobe,artery_or_vein,FD_type,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs_FACTOR_0_8_SCALE_ArtVein__Fractal_Dimension,whole,artery,,0.8,91,2.154952134,0.046099672,2.023794677,2.125372466,2.156083499,2.189286602,2.241892531,37,2.162018735,0.036170073,2.087404355,2.137613692,2.156083499,2.185840858,2.230352359,12,2.144430031,0.062599496,2.023794677,2.10039845,2.150440167,2.185388805,2.241892531,42,2.15173311,0.048753034,2.024352434,2.120907618,2.159023427,2.18982852,2.237642551,,0.232881363,0.198049793,0.295687183,0.247360944,0.669593397,0.357888106
FDs_FACTOR_0_9_SCALE_ArtVein__Fractal_Dimension,whole,artery,,0.9,91,2.191229637,0.046280839,2.058984151,2.164253792,2.193449751,2.224425659,2.280644604,37,2.195734925,0.035630732,2.122405529,2.172867366,2.194540669,2.218061748,2.265739477,12,2.182366452,0.060697117,2.067567388,2.136392853,2.188166664,2.222568248,2.277248311,42,2.189793031,0.050548883,2.058984151,2.158980505,2.193738949,2.225579197,2.280644604,,0.352277682,0.253789688,0.552817416,0.371029442,0.669526623,0.357888106
FDs_FACTOR_1_0_SCALE_ArtVein__Fractal_Dimension,whole,artery,,1,91,2.224725828,0.04588368,2.092926852,2.198107032,2.227365055,2.25749521,2.309807822,37,2.228917455,0.036629105,2.15349173,2.205926055,2.22976254,2.252511373,2.300455458,12,2.216244159,0.059516796,2.106536514,2.168798546,2.219343198,2.256395064,2.309807822,42,2.223456538,0.049542159,2.092926852,2.19491767,2.22666594,2.260068121,2.309714505,,0.380480232,0.239127924,0.583422073,0.37847873,0.672396717,0.389399494
FDs_FACTOR_1_1_SCALE_ArtVein__Fractal_Dimension,whole,artery,,1.1,91,2.254370924,0.046064499,2.120547829,2.229477023,2.255997731,2.284899545,2.339210206,37,2.257457179,0.037525597,2.182035729,2.234927723,2.258061861,2.277365354,2.333087009,12,2.246932944,0.058953445,2.140093029,2.198817239,2.248418481,2.287515767,2.339210206,42,2.253777216,0.049637363,2.120547829,2.226733604,2.254727356,2.291342436,2.336822661,,0.470031667,0.308585123,0.714108148,0.486284468,0.687822104,0.365685156
FDs_FACTOR_1_2_SCALE_ArtVein__Fractal_Dimension,whole,artery,,1.2,91,2.280868455,0.046122818,2.146175066,2.256267326,2.280882867,2.312487693,2.365527093,37,2.283744025,0.038394501,2.208201185,2.260128783,2.28223519,2.308630691,2.362632204,12,2.272572363,0.060966293,2.160319316,2.22544247,2.273633797,2.314248137,2.365527093,42,2.280705526,0.048481977,2.146175066,2.25322954,2.280805284,2.318483446,2.359665109,,0.45571506,0.276636435,0.760504071,0.45112918,0.630678827,0.3501499
FDs_FACTOR_1_3_SCALE_ArtVein__Fractal_Dimension,whole,artery,,1.3,91,2.30585212,0.04678109,2.171828475,2.279595588,2.304299237,2.335904798,2.40334142,37,2.310131158,0.041923336,2.232066556,2.284124368,2.306399016,2.334105382,2.40334142,12,2.297524154,0.060122991,2.18857006,2.250362671,2.29761495,2.337218814,2.389584014,42,2.304461911,0.047456408,2.171828475,2.276847809,2.305532693,2.339614503,2.3859495,,0.421728335,0.261293727,0.577562163,0.49804026,0.675836569,0.365685156
FDs_FACTOR_1_4_SCALE_ArtVein__Fractal_Dimension,whole,artery,,1.4,91,2.328099134,0.047443711,2.193126151,2.299246303,2.327948236,2.35988329,2.424473815,37,2.332224185,0.042561358,2.254371798,2.30591707,2.327948236,2.356543318,2.424473815,12,2.320607156,0.059472951,2.21352917,2.273552816,2.319270352,2.358815269,2.411504597,42,2.326605726,0.048656197,2.193126151,2.295431752,2.32865915,2.363459229,2.411001498,,0.461198941,0.268910141,0.588830355,0.486284468,0.721510044,0.3501499
FDs_FACTOR_1_5_SCALE_ArtVein__Fractal_Dimension,whole,artery,,1.5,91,2.347398069,0.046689856,2.212288422,2.319491976,2.345582798,2.381376301,2.437128356,37,2.350258507,0.042065586,2.27509628,2.325319881,2.343906658,2.376162629,2.437128356,12,2.341214536,0.058575954,2.235752805,2.295524349,2.336990024,2.378708053,2.428386644,42,2.346644883,0.047872898,2.212288422,2.316610865,2.346108967,2.384954699,2.434341735,,0.560689635,0.325142683,0.724168436,0.47845326,0.742994281,0.342473416
FDs_FACTOR_0_5_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,0.5,91,2.165419335,0.063701308,1.939013104,2.130359664,2.174442695,2.21073824,2.277790993,37,2.18393111,0.054461431,2.075335547,2.138143016,2.191601167,2.225280859,2.272848892,12,2.132223404,0.087129421,1.939013104,2.120028216,2.149943564,2.178701456,2.238199363,42,2.158595895,0.059890956,2.011871926,2.116440906,2.166201133,2.194310715,2.277790993,,0.018233324,0.03960064,0.053967101,0.03648557,0.231768176,0.205581919
FDs_FACTOR_0_6_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,0.6,91,2.185618062,0.062651948,1.969753163,2.149796361,2.192925575,2.230292874,2.297666002,37,2.203289771,0.054188201,2.095174889,2.159828276,2.210386756,2.244591206,2.290473902,12,2.152851559,0.084081595,1.969753163,2.142049837,2.172108757,2.195303914,2.258091349,42,2.179411987,0.059210672,2.030287226,2.137162183,2.185538017,2.21435722,2.297666002,,0.018970302,0.03227677,0.06661506,0.046955881,0.219350975,0.188276311
FDs_FACTOR_0_7_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,0.7,91,2.203635259,0.061565388,1.999346547,2.167981781,2.209133936,2.247994837,2.313551727,37,2.220517907,0.054237271,2.111797371,2.176319906,2.228077817,2.263402971,2.306646105,12,2.171769153,0.080521484,1.999346547,2.161270783,2.19202483,2.210198514,2.275086327,42,2.197867053,0.058388248,2.0458066,2.159610226,2.204584136,2.232102949,2.313551727,,0.020923828,0.033993881,0.079265239,0.043226414,0.216401724,0.177254551
FDs_FACTOR_0_8_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,0.8,91,2.219824774,0.060734294,2.021176511,2.182987991,2.226028458,2.261959841,2.329394787,37,2.235856806,0.054097294,2.126065148,2.193240925,2.243208241,2.281358454,2.31937463,12,2.188548995,0.078476119,2.021176511,2.179198994,2.209104263,2.223829576,2.293682401,42,2.214637254,0.057700335,2.061734699,2.178542784,2.221464851,2.24909573,2.329394787,,0.023215374,0.03960064,0.097157975,0.046000147,0.209134306,0.151526165
FDs_FACTOR_0_9_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,0.9,91,2.234417136,0.06032487,2.042522934,2.196214551,2.239340922,2.27654024,2.343549747,37,2.249768523,0.05448769,2.139502107,2.207542699,2.256402684,2.295918633,2.33348001,12,2.203964281,0.076662111,2.042522934,2.195251925,2.225384664,2.236707782,2.308585131,42,2.229594111,0.057416835,2.076686517,2.192624781,2.237781562,2.264605742,2.343549747,,0.027039476,0.03960064,0.114603902,0.05302919,0.212169999,0.137344342
FDs_FACTOR_1_0_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,1,91,2.24781427,0.059865366,2.063160174,2.207922838,2.25345957,2.290432634,2.355160616,37,2.262717298,0.054956161,2.151536058,2.220786064,2.273719654,2.308933206,2.347406283,12,2.217609788,0.074389227,2.063160174,2.206504147,2.239375967,2.248176202,2.322811474,42,2.243315264,0.056941183,2.087750818,2.207101884,2.252277003,2.277770736,2.355160616,,0.028470705,0.041628786,0.128628548,0.063288087,0.204015333,0.10786314
FDs_FACTOR_1_1_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,1.1,91,2.259856065,0.059321202,2.081852847,2.221085739,2.264911273,2.303611331,2.367223199,37,2.274356098,0.05477843,2.161860542,2.233763563,2.287633405,2.319570853,2.360524816,12,2.230093336,0.07276971,2.081852847,2.218621471,2.250278137,2.258923575,2.335575787,42,2.255585862,0.056581774,2.100158608,2.220744884,2.265213879,2.289806925,2.367223199,,0.029851364,0.03960064,0.139425761,0.068316805,0.20273167,0.096733459
FDs_FACTOR_1_2_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,1.2,91,2.270742,0.059046327,2.098103066,2.232346033,2.275115975,2.314468938,2.377324861,37,2.284849317,0.055151934,2.172634144,2.245551575,2.297443943,2.331189639,2.371639055,12,2.241237274,0.071338445,2.098103066,2.229114694,2.259819229,2.268598518,2.347639719,42,2.266744048,0.056269716,2.111411341,2.231034218,2.276051627,2.301348126,2.377324861,,0.03183131,0.035785417,0.153817773,0.073648407,0.198101648,0.096733459
FDs_FACTOR_1_3_SCALE_ManySizeBy1_ArtVein__Fractal_Dimension,whole,artery,ManySizeBy1,1.3,91,2.280775331,0.058583727,2.115647621,2.243907275,2.285475088,2.323919217,2.387331884,37,2.294516849,0.055333774,2.181028731,2.254134412,2.305490838,2.33865229,2.38083524,12,2.252196625,0.069499089,2.115647621,2.237868897,2.26952337,2.279713964,2.357771567,42,2.276835052,0.055893623,2.119799371,2.243031167,2.286648824,2.310937629,2.387331884,,0.035837031,0.037653595,0.162671364,0.076430781,0.207955484,0.096733459
