SID,050_pect_phfirst_012213_5mmfilter1_rightLungVesselParticles
Fractal Dimension,2.3884
Linear Fit,y = -2.3884x + 14.1566
FD @ 1st Root,2.5933
FD @ 2nd Root,2.2137
